--target target
--mode classify
--classifiers knn lgbm rf lr sgd mlp svm dummy
--regressors knn lgbm rf elastic sgd mlp svm dummy
--feat-select filter embed wrap
--embed-select lgbm linear
--wrapper-select step-up
--wrapper-model linear
--norm robust
--nan drop median
--filter-method assoc pred
--filter-assoc-cont-classify mut_info
--filter-assoc-cat-classify mut_info
--filter-assoc-cont-regress mut_info
--filter-assoc-cat-regress mut_info
--filter-pred-regress mae
--filter-pred-classify acc
--htune-trials 50
--htune-cls-metric acc
--htune-reg-metric mae
--test-val-size 0.4
--outdir ./df_analyze_results

f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,target
0.025173601365312326,1.6083889122717185,-0.7621677056056366,0.25563337954178966,-0.6043126500272902,0.7647786387763092,-0.13478791767548362,-0.6876295242378287,0.7001735283880318,-1.9164697716515864,-1.2259001483093834,0.06297018496666527,1.6978187884445948,2.062462127026916,1.5477517727911474,2.3651351937596568,1.2534211010551186,-0.9050138318329781,0.4349383490494731,-0.5516125625784017,0.01797763266338099,0.9083277454364288,0.4432098486495457,-0.1258164353210849,0.3802725231212533,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-0.754802660469008,-0.7089456323098535,-2.069112385541906,0.1905478390072017,-0.5226949010545292,0.870036198132687,-0.6106821811412229,-0.14898951966997281,0.2768007406347147,-0.42841522704989055,1.7956121931818383,0.7075805020315314,0.290392645047808,-0.3179714587683836,0.1717453380897835,0.3821033833744325,0.8818006270493719,-1.5079763539943791,2.0936780473906955,0.4166523417982017,0.46533481578817504,-0.3678010078160431,1.3839325573034091,0.4381885129462948,0.07826842837057983,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
2.100286226769078,0.5779099630712268,-0.1990337690752666,-0.5791022942602984,-0.904146393012426,0.060380819216022806,-0.6932017625163577,-1.1290631080041784,-0.18270673502483623,-0.6429554636919178,0.3961946144519767,0.3643170222338231,1.0117649948805734,-0.6101893469505171,-1.5250344140603167,0.390378445796731,0.6153029728384912,-0.044617303722830175,0.004405194096836096,0.8419514344043052,1.367169083139586,0.15176314416654402,-0.6781939653517361,0.5249682937254321,1.4161642203954221,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-1.2388273576316848,-0.6404460828875093,0.7983164664152481,1.3008079936555659,-0.3157221381575507,0.15889038053036852,-1.2805573595704773,0.26756682261584774,-0.29166937240281604,1.2372666139576174,-0.2357059400359259,1.443418295257415,1.2928101054348704,-0.09910609692515063,-0.5763984077470157,-1.2235492330198265,-1.0798961777400973,0.4033376283537102,-1.5828262290193007,0.34016521531185406,0.7547643269606941,-1.1590238156908446,0.6791307488539614,-0.598942698790898,0.29554344351765743,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.04118145710169383,-0.573580040864563,0.598075423298451,0.1526243761042935,-0.03960201262252492,-1.9821526283594233,-1.1801749750379529,0.451155452403313,-0.5094605014172333,0.1340833144035172,-0.025970314300965996,-0.6592940871429637,-1.6425199552779661,-0.5144372579359313,0.09694584856375989,-0.3806393708060585,-0.5645469547575362,0.7785829232246978,-0.20402072485259432,0.008863427319235362,1.03722655168288,0.1691512522389057,-1.0129321712901533,2.2747354727276017,-0.136162404838955,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
0.8050106477000069,1.2117368470001426,0.4905627967492974,1.1823518715873624,0.010759327764155212,-0.2322001691370113,-0.7652389514078104,-0.7531657532172913,-1.6026474607843237,0.9591617548269825,1.6807062426929182,0.2731055161129123,-0.9871634809543687,-0.271772783127358,0.36922060263042056,-0.22618217622486145,-0.8226184473204977,-0.7777444004597039,1.8950329638398846,0.12141394218412675,-0.3536698609591986,-0.26850362495526114,1.361759844577658,-0.6431387158633111,1.1303162800689088,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-0.12978038083479942,1.5649144734174665,-0.47322465583455187,-2.2057813988380124,0.4229270343064936,0.21475751089885667,-1.2036927615783153,-0.75841134556269,0.6131873883318385,-0.8920303046206517,0.46802379318600895,0.1546876504072849,-1.2499327040573494,1.426598632047909,0.5824108367304277,0.7204195464142666,0.7480296963965405,-1.2820480795046065,-0.05638765655375973,1.7236329047250405,1.5160518629460373,-0.20730655589386138,-1.1986677892767637,0.4501474848399744,0.9731891465830765,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.3210993945267409,-0.7536612573242644,0.41366866588387974,0.12927485153436583,0.8185975417632555,1.5103182992959,0.0473075769183206,-0.1269396675134957,-0.2242141745301226,1.081744926641484,-0.8787919155910563,-0.8646840680030031,0.2925608540136907,-0.585804831362005,0.14062036835255362,-1.188503614141087,0.24329101531707129,0.1704917883734038,-0.9929101688204356,-0.6822629195043608,-0.17054700703323863,0.7307599893086499,0.48578446732501834,0.923879465989174,-1.7459026415704528,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-0.11839051169599665,-0.8659781125728941,-0.5753536259142588,-1.5024213376813298,-1.1141719641903036,-0.03311861766752742,0.6206749442253491,1.182393208687734,-1.2945068778675901,-2.245224037877252,-0.06591234764387609,0.8157460017829433,0.8798614871636803,-0.37422286137968963,0.16662832159090343,0.5612756903948852,-1.560007948118064,-0.8253224150769938,0.8205102896009429,1.2067178826170437,-0.4727660257579925,2.02376815900468,0.7070075927274033,-1.021703475456983,0.6043377271502411,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-0.8625751492448143,-1.5921270340877796,0.9021533429656562,0.3430673002398847,-0.3547833214590827,-0.13599031439303969,-0.31462270605231446,0.37034185422575444,-1.2912902206288466,0.8976811903703861,-1.191486561078514,0.026617153451698742,-0.005459054028315844,0.23959786598670507,0.015511389306961915,-1.163686445052864,0.9115328813575213,0.2900452740965934,-0.5403040217507126,0.3838463944671512,0.809948340766835,0.8415429688264839,-0.3636786454430251,-1.0404850461651574,1.5966531076595771,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-1.73679795647524,0.8627493719931784,-1.0194764213631236,-2.237681634300017,0.978808495515529,0.3318985519820687,-1.9382791638152927,0.4295071224482614,-0.6475056564219488,-1.209797215499214,-1.783118584440144,-1.0194812534230393,1.1172961612196155,0.8429857786898876,0.46868019078580697,0.14209960732724428,0.7780586232210971,-1.35342927427859,0.18570994202997976,1.2439781013650153,-0.37447985274878604,0.18847160130671264,0.4294629022495518,-1.454401317114225,-0.09184171094698007,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
0.2906575768716297,0.19732325452818555,-0.2583280002692917,-0.06627632099113491,-0.3724785343618682,1.1242579108935216,-0.5576444247729491,0.9752266672246246,-0.8583172345832414,-0.5249985536767136,0.12399838504035678,-2.0906327502399353,0.2779470431757798,-0.6188814273353147,0.07489427944608638,0.9704656360907215,-0.739300397054094,-1.0190452279370825,-0.5929972921358594,-0.35192640904687583,1.479559169902307,0.41347203577384145,-1.4379312041729655,-1.4005480052799524,-0.32945184929281124,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
1.3544868437130384,0.48791544162905814,1.4755743565473838,0.5426850524026661,-0.2887879652537485,-1.3752187606824418,1.2513482898199828,1.490776357978357,0.9285517729874219,-0.23562510951027565,-0.13847993042510076,1.9092067539967201,-0.5960636592910543,-1.0676929581349595,1.6023357902442263,-0.4504673351577001,-0.5552523047981381,-1.0985959646124621,1.4442253641587144,1.2380632382259529,1.7882132004748976,-2.799999958869731,-0.04546444086816807,-0.9818271199879153,-0.5526909364528306,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.1333440216893582,0.7013952888895891,-1.1623389844429466,0.8728094356288806,0.32426755580791444,-0.2939546007946098,0.5246448273661061,0.6820131423296992,0.08636587183860167,0.4576974005089988,-0.6798891631667645,-2.2841239138640903,-1.4113950979415733,0.2734464188702596,2.2030158771042156,0.009384620732576752,0.9784650870320529,1.3890964276150166,1.0078496591182453,-0.9506139158435017,-0.3565923956686216,-0.13864056693895763,-0.6270267459113599,-0.3821908663859202,0.1463571266896022,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-0.19818643789505483,-0.055294194532185,1.443902971675895,1.8930176353125654,0.10352750206311755,-1.5319594847100395,-0.9177656008749145,0.8945433117395913,-0.817299958622711,-0.028668480922795517,0.6399463716242542,-2.403994994141316,1.0798544749035683,-0.8839919869578047,-0.25012192771928915,-0.550697189746076,1.6597779630877387,1.2800054662992901,0.15697777736056,2.2870897129105177,0.18922012379146894,1.399271641256951,-0.6212818265671688,-0.31882013707927725,1.2384831949547808,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-0.9037603959260733,-1.569996947865993,0.2258687877624272,0.23339367801940103,-0.8268672012113917,0.30305540347192655,1.5744887225230408,-0.6732714160245182,0.47879537414911516,-0.15039487351304717,-2.341692692054884,0.48701632384933824,-0.232739629609389,0.4598586967183019,-1.631465553096672,-1.1171791800165844,-1.0641047724342179,-0.48308463374393007,-0.36257841015088504,0.3472317836840985,-0.07830498676626474,-0.1297023753761926,-0.9550830923621143,0.04345871515263764,-0.18191705800819583,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-0.5004984034423929,-0.8080624284313238,-0.5189525215613151,-0.34120453413852253,-1.0332929412197902,0.13524742162856632,-1.3961907884613178,-0.6154234484024105,-0.35867331363888644,-0.8047246637380172,-0.5102088240751733,-1.3158014846925075,-1.1790018027964415,2.002320341105321,0.23825946236663084,0.9265903752739721,-0.3540841234920153,0.1394188547359071,0.906334613337797,1.0439042157791272,1.1699928423074326,-0.6857315377214672,0.38995542393608745,0.11421523119456284,2.760357567509896,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
1.227057033531673,-0.08712226490476552,-1.4735132788595016,1.7389139555826036,0.7066466348174344,2.1233583916754886,1.033765766575346,-0.859998112717677,0.9199807086406794,-0.7054484311659079,1.0699034954129323,1.502002870001165,0.13454087930390432,-0.8576985969136178,1.2748986857439686,0.31918676346442343,0.5839680904286121,-2.6502678938123228,-0.19785654256609553,1.3119133408406647,-2.9861529381218843,-1.4768122455628714,2.058770622713643,2.04616985984042,2.0552513034587236,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-0.34162670652652644,1.3074860331947709,1.7861314685939482,1.744016191350791,1.7629071611486673,0.9056428042667787,0.047499555716291005,-0.14636318421499597,0.8222584514789585,-1.3826972052034354,0.08401737807119168,-1.2100384164648919,0.06050027326083409,-2.659285010617544,1.9190147219773797,0.7117208333365412,-0.14430536951266684,-0.15075308327874412,-2.303047722735558,-1.7178612417271344,1.3415144117430617,0.2080347426254359,1.0081661618192832,-0.08097507616269231,1.7761271261228015,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.31706100118937847,-0.6117209620692807,0.2618884511358633,-0.364392569591337,-0.16550259822309082,-0.9858709291469928,0.424771997314546,1.5412359435506773,0.0032153518312873467,-0.6754404163185908,0.7467009841979895,1.0045796019378948,-1.020037269979162,-0.6839408292633984,-0.2381754080736751,-0.1792115596263046,0.2190297870479944,-0.4495735959401047,1.5465049912120132,-0.662188596802816,0.44670131100898214,-0.6851406437856861,0.6473960989663198,0.00967543457771032,2.0286530362965483,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-1.2178659158871699,0.7037862260078291,0.13487732446845224,0.81281434573538,0.20633682441241202,0.8951155421423093,-1.8354223027178862,-0.6437259551491767,0.5761545518827326,-0.2669928258302956,1.0115873352692593,-1.2710410082052148,0.2684114026662892,0.7002674254148588,1.5378462118955996,-0.3194117378456121,0.6963196647685002,0.7665710235243615,0.06263675875770996,0.9805329392824328,-0.45205546871478525,0.23231777004046428,-1.4467620044622114,1.1454494470242138,-1.6753764320416002,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-0.9765741471037488,0.4772049749457888,0.7551850967394281,-0.44064593710673305,0.5439865611914976,1.102512369880877,0.8903675525668223,0.27511271114781777,2.043782373878336,0.8480142029560248,0.2576598353570747,-0.5383543675385513,-0.046495136125380254,-2.1044439356555036,-0.36488569851799146,-1.2588684056431867,-0.24005347038891234,-0.9752016461658196,1.4560054996450815,-0.43646960364050547,-0.9675276122137091,-1.7636731577458054,-0.14027380779985107,-0.046386052340900104,-2.124924064368786,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.86145212188338,0.40552294431634595,-0.9558525074002999,1.4859585583985306,-0.26089191055316185,1.1707433755732657,1.615660130141912,0.31100714154833786,1.5011131052893987,-1.5093153625503166,1.3796000427209123,0.3054746115353399,-0.07897027697403633,0.7356383967959732,-0.6373774121995762,0.3297767359724434,-0.6838577731675916,-0.22092930359530646,-0.5235117072581839,0.9709869674281095,0.01585151924488084,-1.168634504971627,0.2920438680480527,0.8857813427395473,-0.2727652614738393,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
1.6593177863546686,-0.2092977511482577,0.09561472503908565,1.5937133084824848,0.24933159508258484,1.8890736071709577,-2.300009106316588,-0.15761659120953878,1.3949011493144554,0.5570130321143636,-0.9896630393443185,-1.1482150192614209,-0.06567882725420589,1.730550624563102,-0.46568920090061117,-0.7817655109792088,0.7917025255035901,0.08594042085854857,-0.07970819553238453,-0.4914104179299335,-0.12894761317426548,-0.30641917566319765,-1.8974604606081042,0.6276604604472089,-0.08645879118491616,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
1.7745154299093115,-0.6097826910102717,-0.7317607787117593,0.329919975303756,-0.6324106953855438,1.4454264410957358,0.5987311546029523,0.2799175819766839,1.3444721857516728,1.1714652582647607,-2.9508938853119036,-1.0047729675551567,2.8597704205506074,-0.315533165503815,0.3436981338263965,-1.8402469200100913,-0.15237139622217885,-1.3463037815706036,-0.6261025293367929,-1.0641210836585762,-2.25147159886009,0.4129397176013229,0.009356134529402706,2.912984588817673,-0.975109904020218,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
1.5179071192085227,-0.6644037490851177,0.7901024785276037,-0.3216180589865267,-0.4448372494399084,1.290864293359137,0.7214854552296084,0.2385737473633802,-0.9553686861634895,-0.440844095845919,-1.0950912865229954,0.6736922858786366,1.9743080904050632,-0.23694160674942472,0.6979500950932073,0.6230660947092139,0.23579908991083245,1.0256295322035964,-0.6366766920218676,0.8864650466390139,0.5761585633986945,0.267528684392671,1.1924341801303813,-0.11015414743636548,0.3103570646348009,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
