                       abalone  (4177, 11)  11.103877208 (s)
                     ada_prior  (4562, 71)  20.759666417000002 (s)
         analcatdata_marketing   (364, 55)  12.720010167000005 (s)
          analcatdata_reviewer   (379, 26)  10.960803166999995 (s)
                    arrhythmia  (452, 333)  28.746126417 (s)
                   BNG(lowbwt)  (31104, 16)  15.126287958000006 (s)
                     cleveland   (303, 18)  9.029376833 (s)
                           cmc  (1473, 16)  19.837804458000008 (s)
                         colic   (368, 77)  8.739017375000003 (s)
                      colleges  (7063, 257)  1.6565764777666667 (min)
                  cps_85_wages   (534, 26)  19.322452916999993 (s)
               credit_approval   (690, 45)  20.977474500000028 (s)
                cylinder-bands   (540, 89)  51.154812875000005 (s)
                   dermatology   (366, 36)  19.507173292000004 (s)
