,model,feat_select,n_feat,test_val,acc,acc_sd,auc,auc_sd,htune_val,htune_trials
45,bag,step-up,100,5-fold,0.8295238095,0.0880888029,0.8563837719,0.0492995799,5-fold,100
46,bag,step-up,50,10-fold,0.795751634,0.0883663192,0.8216071429,0.0836873856,5-fold,100
47,bag,step-up,100,10-fold,0.7898692810000001,0.0666725402,0.8355753968,0.07287309730000001,5-fold,100
48,bag,step-up,100,m-carlo,0.775,0.0685764467,0.81015625,0.06220221,5-fold,100
49,bag,step-up,50,5-fold,0.7671428571000001,0.0362812146,0.8082587719000001,0.07178820030000001,5-fold,100
50,bag,step-up,10,5-fold,0.7504761905,0.08660908610000001,0.7362149123,0.0893746894,5-fold,100
0,bag,auc,50,5-fold,0.7501587302,0.0498877551,0.7963223684,0.0358055106,5-fold,100
1,bag,auc,50,10-fold,0.7444444444,0.08673377460000001,0.8015277778000001,0.0863983989,5-fold,100
2,bag,auc,50,m-carlo,0.7319444444000001,0.0626176605,0.8225,0.0710919878,5-fold,100
51,bag,step-up,50,m-carlo,0.7305555556000001,0.0591662892,0.7581249999999999,0.0800865588,5-fold,100
3,bag,pearson,100,10-fold,0.7150326797000001,0.11049854640000001,0.7989880952,0.0976847799,5-fold,100
4,bag,pearson,100,m-carlo,0.7138888889,0.0533936063,0.8189062500000001,0.0533179063,5-fold,100
5,bag,pearson,10,m-carlo,0.7111111111,0.0593718472,0.77015625,0.0657187222,5-fold,100
6,bag,auc,100,10-fold,0.7107843137000001,0.0999481309,0.7657341270000001,0.1074699043,5-fold,100
52,bag,step-up,10,m-carlo,0.7069444444,0.0772512462,0.7118749999999999,0.0747776309,5-fold,100
7,bag,auc,100,m-carlo,0.7055555556,0.0717596523,0.7878124999999999,0.06376918570000001,5-fold,100
8,bag,pearson,100,5-fold,0.7044444444,0.0662154039,0.7961644737,0.0643473336,5-fold,100
9,bag,auc,100,5-fold,0.6988888889,0.042929098900000004,0.7524364035000001,0.0697939227,5-fold,100
53,bag,step-up,10,10-fold,0.6950980392,0.0947530847,0.7226587302,0.13107353700000002,5-fold,100
10,bag,auc,10,m-carlo,0.6944444444,0.0674418865,0.756875,0.0768655054,5-fold,100
11,bag,pearson,50,5-fold,0.6879365079,0.0779686676,0.7306118421000001,0.1256140017,5-fold,100
12,bag,pearson,50,m-carlo,0.6833333333,0.0688719089,0.75109375,0.0756840719,5-fold,100
13,bag,d,50,5-fold,0.6822222222000001,0.0584549537,0.720872807,0.0649423983,5-fold,100
14,bag,auc,10,10-fold,0.6758169935,0.1142368656,0.7570238095,0.1338827964,5-fold,100
15,bag,auc,10,5-fold,0.6706349206000001,0.11092671770000001,0.7460614035,0.0774401098,5-fold,100
16,bag,pearson,50,10-fold,0.6653594771,0.0865749264,0.7474404762,0.1088166764,5-fold,100
17,bag,pearson,10,5-fold,0.6647619048,0.0371306451,0.748497807,0.04816211,5-fold,100
18,bag,pearson,10,10-fold,0.6598039216,0.0896488351,0.7597420635000001,0.10301768060000001,5-fold,100
19,bag,d,50,m-carlo,0.6541666667,0.0842903141,0.72140625,0.0841173882,5-fold,100
20,bag,pca,50,m-carlo,0.65,0.0761526117,0.66078125,0.08326496300000001,5-fold,100
21,bag,d,100,10-fold,0.6486928105,0.0792179452,0.7059722222,0.0662942225,5-fold,100
22,bag,d,50,10-fold,0.6424836601,0.1140747065,0.7217261905,0.10044866990000001,5-fold,100
23,bag,pca,100,10-fold,0.6362745098,0.12741885520000001,0.6420634921,0.1507476956,5-fold,100
24,bag,pca,100,m-carlo,0.6333333333,0.0446995602,0.69203125,0.064223562,5-fold,100
25,bag,d,100,m-carlo,0.6319444444,0.0596958666,0.6921875,0.08058623100000001,5-fold,100
26,bag,pca,100,5-fold,0.6253968254000001,0.11108843310000001,0.6625043860000001,0.1458826048,5-fold,100
27,bag,d,10,5-fold,0.6250793651000001,0.0358533448,0.6838662281,0.1037478815,5-fold,100
28,bag,d,10,m-carlo,0.625,0.06833915730000001,0.694375,0.1008475595,5-fold,100
29,bag,pca,50,5-fold,0.6249206349,0.062349844800000005,0.5948596491,0.116231204,5-fold,100
30,bag,pca,50,10-fold,0.6137254902,0.1157844977,0.6485714286,0.12066109,5-fold,100
31,bag,d,100,5-fold,0.5968253968,0.0437012695,0.6833289474,0.0607963726,5-fold,100
32,bag,pca,10,m-carlo,0.5958333333,0.0594231257,0.6703125,0.0939936527,5-fold,100
33,bag,d,10,10-fold,0.5924836601,0.0829039731,0.7113095238,0.1277207676,5-fold,100
34,bag,pca,10,10-fold,0.5797385621000001,0.0948175581,0.6749404762,0.0775397485,5-fold,100
35,bag,kpca,100,5-fold,0.5796825397,0.060425967600000005,0.499129386,0.0430434553,5-fold,100
36,bag,kpca,50,5-fold,0.5682539683,0.053921548400000005,0.5943135965,0.049096302700000004,5-fold,100
37,bag,kpca,50,10-fold,0.5617647059,0.1087520292,0.5676190476,0.1451912493,5-fold,100
38,bag,kpca,100,10-fold,0.5575163399,0.0787815952,0.5598214286000001,0.1574722603,5-fold,100
39,bag,pca,10,5-fold,0.556984127,0.0405477115,0.6145153509,0.0913222211,5-fold,100
40,bag,kpca,100,m-carlo,0.5513888889,0.038526928700000004,0.48328125,0.1037945519,5-fold,100
