,model,feat_select,n_feat,test_val,acc,acc_sd,auc,auc_sd,htune_val,htune_trials
45,dtree,step-up,100,5-fold,0.7161904762,0.054875658300000005,0.7150877193,0.0587091754,5-fold,100
46,dtree,step-up,10,5-fold,0.6988888889,0.0320403028,0.6901973684,0.0301572565,5-fold,100
0,dtree,auc,10,5-fold,0.6812698413,0.0703659942,0.6877642544,0.0825078404,5-fold,100
1,dtree,auc,50,5-fold,0.6646031746000001,0.0690512679,0.6626315789,0.0663573536,5-fold,100
2,dtree,pearson,100,5-fold,0.6592063492,0.0331419297,0.6486842105,0.0370199375,5-fold,100
3,dtree,auc,10,10-fold,0.658496732,0.1427160764,0.7037500000000001,0.1454202117,5-fold,100
4,dtree,pearson,50,5-fold,0.6533333333,0.042910020300000004,0.6466447368,0.0492598974,5-fold,100
47,dtree,step-up,50,5-fold,0.6531746032,0.056438560900000004,0.6480482456000001,0.058611451200000005,5-fold,100
5,dtree,auc,50,10-fold,0.6480392157,0.10675436840000001,0.6456944444,0.1074830907,5-fold,100
6,dtree,pca,10,5-fold,0.6473015873,0.0465000806,0.6419078947,0.0518068841,5-fold,100
7,dtree,pearson,10,5-fold,0.6423809524,0.0436565653,0.6625921053,0.0866576329,5-fold,100
8,dtree,auc,50,m-carlo,0.6263888889,0.07881256090000001,0.6231249999999999,0.08001593180000001,5-fold,100
9,dtree,pearson,10,m-carlo,0.625,0.0756711362,0.65515625,0.0666336567,5-fold,100
10,dtree,d,100,10-fold,0.6199346405,0.1622695189,0.6067658730000001,0.1614765019,5-fold,100
11,dtree,pearson,50,10-fold,0.6189542484,0.0762869515,0.6124603175000001,0.07828088820000001,5-fold,100
12,dtree,pearson,10,10-fold,0.6176470588,0.1126490176,0.6957142857,0.11330166,5-fold,100
13,dtree,auc,100,m-carlo,0.6166666667,0.1001947422,0.6134375,0.09786526970000001,5-fold,100
14,dtree,auc,100,10-fold,0.6078431373000001,0.09227807660000001,0.6090873016,0.0886490529,5-fold,100
15,dtree,pearson,100,m-carlo,0.6041666667000001,0.0774612398,0.6009375,0.0777001607,5-fold,100
16,dtree,pearson,50,m-carlo,0.6013888889,0.0639016006,0.598125,0.06698082500000001,5-fold,100
17,dtree,d,10,10-fold,0.5964052288,0.11516227350000001,0.6430952381,0.13944621740000002,5-fold,100
18,dtree,auc,100,5-fold,0.5903174603,0.11189688140000001,0.5796710526000001,0.11033447,5-fold,100
19,dtree,pca,10,10-fold,0.5875816993,0.1571559835,0.5789087302,0.1669167271,5-fold,100
20,dtree,d,10,5-fold,0.5852380952,0.0589111326,0.5797861842,0.0486983125,5-fold,100
21,dtree,pca,10,m-carlo,0.5819444444,0.086195959,0.5710937500000001,0.08849803810000001,5-fold,100
22,dtree,pca,50,m-carlo,0.5805555556,0.0774743455,0.5728125,0.0805326378,5-fold,100
23,dtree,d,10,m-carlo,0.5777777778000001,0.09173088310000001,0.583515625,0.1044318547,5-fold,100
24,dtree,auc,10,m-carlo,0.5750000000000001,0.0796454946,0.6062500000000001,0.1014542693,5-fold,100
25,dtree,kpca,10,10-fold,0.5745098039000001,0.09943093530000001,0.577609127,0.1016568821,5-fold,100
26,dtree,d,50,5-fold,0.5739682540000001,0.0327922832,0.5708771930000001,0.0358048965,5-fold,100
27,dtree,kpca,10,5-fold,0.5738095238,0.0573903371,0.5661129386,0.0777739205,5-fold,100
28,dtree,pca,50,5-fold,0.5738095238,0.049772726100000005,0.5686184211,0.0522265114,5-fold,100
48,dtree,step-up,10,10-fold,0.5735294118,0.1126832474,0.5684722222,0.1168540634,5-fold,100
49,dtree,step-up,10,m-carlo,0.5722222222000001,0.0761526117,0.571484375,0.08221353490000001,5-fold,100
29,dtree,kpca,50,5-fold,0.5682539683,0.0731882024,0.5546008772000001,0.10919579800000001,5-fold,100
30,dtree,d,50,m-carlo,0.5638888889,0.0999918775,0.5590625,0.0991011204,5-fold,100
31,dtree,kpca,100,5-fold,0.5625396825,0.042437688700000004,0.5522982456000001,0.0638803545,5-fold,100
32,dtree,pearson,100,10-fold,0.5588235294,0.11310106630000001,0.551031746,0.1214548939,5-fold,100
33,dtree,kpca,50,m-carlo,0.5583333333,0.044971292600000004,0.55015625,0.0588268936,5-fold,100
34,dtree,kpca,100,10-fold,0.5552287582000001,0.1026447878,0.5652876984,0.1380252378,5-fold,100
35,dtree,d,50,10-fold,0.5516339869,0.12715549610000002,0.551547619,0.1229724066,5-fold,100
36,dtree,pca,50,10-fold,0.5444444444000001,0.0811557807,0.5370634921,0.07970176600000001,5-fold,100
37,dtree,d,100,m-carlo,0.5444444444000001,0.10212174060000001,0.5387500000000001,0.0976196971,5-fold,100
38,dtree,pca,100,m-carlo,0.5416666667,0.0862077368,0.535625,0.08780726130000001,5-fold,100
39,dtree,kpca,100,m-carlo,0.5388888889,0.0766840391,0.527578125,0.0799093516,5-fold,100
40,dtree,kpca,50,10-fold,0.5352941176,0.08025299250000001,0.5226190476,0.1052654632,5-fold,100
41,dtree,kpca,10,m-carlo,0.5291666667,0.0551704489,0.512578125,0.08091478640000001,5-fold,100
42,dtree,pca,100,10-fold,0.5284313725,0.11183550020000001,0.5188690476,0.1062588643,5-fold,100
43,dtree,pca,100,5-fold,0.5228571429000001,0.053069073200000004,0.5128508772,0.0496681116,5-fold,100
44,dtree,d,100,5-fold,0.5115873016,0.068694591,0.5072149123,0.06606149900000001,5-fold,100
50,dtree,step-up,100,10-fold,0.4967320261,0.1391694803,0.481765873,0.1428505427,5-fold,100
51,dtree,step-up,50,10-fold,0.4950980392,0.0893013679,0.4851190476,0.0946547112,5-fold,100
52,dtree,step-up,100,m-carlo,0.48888888890000004,0.0880257804,0.48406249999999995,0.090876466,5-fold,100
53,dtree,step-up,50,m-carlo,0.47638888890000003,0.0870398884,0.4690625,0.0838151504,5-fold,100
