,model,feat_select,n_feat,test_val,acc,acc_sd,auc,auc_sd,htune_val,htune_trials
0,mlp,step-up,50,5-fold,0.7898412698,0.0713897602,0.8568464912,0.0555228911,5-fold,100
1,mlp,step-up,50,10-fold,0.7849673203,0.1134237518,0.8622619048,0.0903369333,5-fold,100
51,mlp,step-up,100,5-fold,0.7507936508,0.0843662366,0.8275701754,0.10745182410000001,5-fold,100
2,mlp,step-up,50,m-carlo,0.7486111111,0.0652847763,0.806484375,0.0803343442,5-fold,100
3,mlp,step-up,10,10-fold,0.7205882353,0.1320219194,0.7740079365,0.1138110873,5-fold,100
4,mlp,step-up,10,m-carlo,0.7152777778,0.0610412945,0.7564062500000001,0.050475483800000005,5-fold,100
5,mlp,auc,50,10-fold,0.7088235294,0.0969982254,0.7440773810000001,0.0652594492,5-fold,100
6,mlp,pearson,100,5-fold,0.7047619048,0.0575383142,0.7733048246,0.0550455391,5-fold,100
7,mlp,step-up,10,5-fold,0.7042857143,0.08800510190000001,0.7623706140000001,0.062276476100000006,5-fold,100
52,mlp,step-up,100,10-fold,0.6980392157,0.0841562315,0.8052579365,0.0753196399,5-fold,100
53,mlp,step-up,100,m-carlo,0.6930555556,0.1056689911,0.7503906250000001,0.1099840596,5-fold,100
8,mlp,auc,50,m-carlo,0.6902777778,0.0711201337,0.76515625,0.07604314990000001,5-fold,100
9,mlp,pearson,10,m-carlo,0.6861111111,0.06505108700000001,0.7464843750000001,0.0666505761,5-fold,100
10,mlp,pearson,100,m-carlo,0.6833333333,0.0512989176,0.757421875,0.0583156779,5-fold,100
11,mlp,pearson,100,10-fold,0.6754901961,0.0817508915,0.8001984127,0.098797172,5-fold,100
12,mlp,pearson,50,m-carlo,0.6680555556000001,0.0729244983,0.7475,0.0792037367,5-fold,100
13,mlp,pearson,50,10-fold,0.6647058824000001,0.11942098420000001,0.7446428571,0.1007342657,5-fold,100
14,mlp,pearson,50,5-fold,0.6644444444000001,0.0879026925,0.7147083333,0.1298987653,5-fold,100
15,mlp,auc,10,m-carlo,0.6597222222,0.07089135910000001,0.7173437500000001,0.06478928240000001,5-fold,100
16,mlp,auc,50,5-fold,0.6593650794,0.0789800183,0.7425877193,0.058298565000000004,5-fold,100
17,mlp,pearson,10,5-fold,0.6590476190000001,0.1050644981,0.7247280702000001,0.0979687927,5-fold,100
18,mlp,pearson,10,10-fold,0.6588235294,0.09712964660000001,0.7542460317,0.1287956109,5-fold,100
19,mlp,d,50,10-fold,0.654248366,0.0917984656,0.6983333333,0.0856696312,5-fold,100
20,mlp,auc,10,5-fold,0.6533333333,0.1020426304,0.7422324561,0.1184680466,5-fold,100
21,mlp,d,10,5-fold,0.6482539683,0.09705671040000001,0.6952456140000001,0.1212164605,5-fold,100
22,mlp,d,100,5-fold,0.6365079365,0.1160468364,0.6574287281,0.1478195963,5-fold,100
23,mlp,auc,10,10-fold,0.6307189542,0.0810357948,0.7283333333,0.1249181516,5-fold,100
24,mlp,d,10,m-carlo,0.6291666667,0.07973467620000001,0.6796875,0.0892016169,5-fold,100
25,mlp,auc,100,5-fold,0.6203174603,0.1604290041,0.6734978070000001,0.159921536,5-fold,100
26,mlp,pca,50,m-carlo,0.6194444444,0.0662879104,0.6265625,0.09240398870000001,5-fold,100
27,mlp,d,50,5-fold,0.6193650794000001,0.0867253711,0.6390482456000001,0.1301859077,5-fold,100
28,mlp,d,10,10-fold,0.6147058824,0.0737280461,0.6693849206,0.1127261626,5-fold,100
29,mlp,d,50,m-carlo,0.6041666667000001,0.0753349678,0.68078125,0.0910636221,5-fold,100
30,mlp,pca,50,10-fold,0.6029411765,0.13496419910000002,0.6193253968,0.1616562027,5-fold,100
31,mlp,d,100,10-fold,0.6019607843,0.1171801434,0.6666369048,0.140825532,5-fold,100
32,mlp,auc,100,m-carlo,0.6013888889,0.0865720544,0.71796875,0.1019892351,5-fold,100
33,mlp,d,100,m-carlo,0.5986111111,0.0960032184,0.640625,0.0974370896,5-fold,100
34,mlp,auc,100,10-fold,0.5983660131,0.1313117459,0.7508333333,0.1404496208,5-fold,100
35,mlp,pca,100,10-fold,0.5905228758000001,0.1156845308,0.6650099206,0.104054593,5-fold,100
36,mlp,pca,100,m-carlo,0.5888888889,0.0701571614,0.6146874999999999,0.09483934000000001,5-fold,100
37,mlp,pca,10,10-fold,0.585620915,0.0803416601,0.5966666667,0.1121034204,5-fold,100
38,mlp,kpca,10,5-fold,0.5849206349,0.0363089817,0.5433991228,0.1071842043,5-fold,100
39,mlp,pca,10,5-fold,0.5746031746,0.0955022791,0.6003410088000001,0.0938640939,5-fold,100
40,mlp,pca,10,m-carlo,0.5722222222000001,0.09929903770000001,0.601328125,0.1059208755,5-fold,100
41,mlp,pca,100,5-fold,0.5684126984,0.0689252702,0.6271864035,0.0482619674,5-fold,100
42,mlp,pca,50,5-fold,0.5680952381000001,0.043107733,0.5928640351000001,0.0578005522,5-fold,100
43,mlp,kpca,50,10-fold,0.5568627451,0.08201391870000001,0.5047222222000001,0.1805527647,5-fold,100
44,mlp,kpca,50,m-carlo,0.5444444444000001,0.0694590628,0.531015625,0.0898779254,5-fold,100
45,mlp,kpca,50,5-fold,0.5396825397,0.055578226700000004,0.5604572368,0.0840558128,5-fold,100
46,mlp,kpca,100,5-fold,0.5395238095,0.0637899757,0.5227839912,0.0446123381,5-fold,100
47,mlp,kpca,10,m-carlo,0.5347222222,0.0381029606,0.46039062500000005,0.09360223420000001,5-fold,100
48,mlp,kpca,100,10-fold,0.5333333333,0.0944363401,0.519375,0.0986175433,5-fold,100
49,mlp,kpca,100,m-carlo,0.5319444444,0.052762386200000004,0.49585937500000005,0.056184343500000004,5-fold,100
50,mlp,kpca,10,10-fold,0.5284313725,0.0592266106,0.4537202381,0.0987215585,5-fold,100
