,model,feat_select,n_feat,test_val,acc,acc_sd,auc,auc_sd,htune_val,htune_trials
45,rf,step-up,100,5-fold,0.7561904762,0.08692269870000001,0.8049276316,0.099432721,5-fold,100
46,rf,step-up,100,10-fold,0.7503267974000001,0.0741253187,0.7973115079,0.1194785562,5-fold,100
0,rf,auc,50,10-fold,0.7277777778000001,0.10348067870000001,0.7758234127,0.1256367984,5-fold,100
47,rf,step-up,100,m-carlo,0.7277777778000001,0.0621783471,0.790390625,0.07436040840000001,5-fold,100
1,rf,pearson,100,10-fold,0.7156862745,0.0653413192,0.7645535714,0.1081598968,5-fold,100
2,rf,pearson,100,m-carlo,0.6986111111000001,0.08979572150000001,0.76046875,0.0789334812,5-fold,100
3,rf,auc,50,m-carlo,0.6958333333000001,0.0718020843,0.777421875,0.0593522182,5-fold,100
4,rf,pearson,50,10-fold,0.6879084967,0.10267715220000001,0.7727876984000001,0.1100920933,5-fold,100
5,rf,pearson,100,5-fold,0.6876190476,0.069137872,0.7480657895,0.0728205613,5-fold,100
6,rf,pearson,50,5-fold,0.6820634921000001,0.08281319150000001,0.7528530702,0.11014584100000001,5-fold,100
7,rf,auc,100,m-carlo,0.6805555556,0.0772643875,0.74421875,0.0687090563,5-fold,100
8,rf,auc,50,5-fold,0.6763492063000001,0.075793443,0.7646041667,0.081026549,5-fold,100
9,rf,pearson,50,m-carlo,0.6736111111,0.0561915352,0.7475,0.0622577542,5-fold,100
10,rf,auc,10,5-fold,0.6706349206000001,0.0860626372,0.7236326754,0.0875228292,5-fold,100
11,rf,pearson,10,5-fold,0.6646031746000001,0.08962914550000001,0.7146326754,0.071976264,5-fold,100
12,rf,auc,100,5-fold,0.6644444444000001,0.1123603245,0.7150592105,0.0973877403,5-fold,100
13,rf,auc,100,10-fold,0.6643790850000001,0.1086930921,0.7393849206,0.1144551523,5-fold,100
14,rf,d,50,10-fold,0.6601307190000001,0.08799963150000001,0.7328968254,0.1147965189,5-fold,100
15,rf,pearson,10,10-fold,0.6591503268000001,0.09150391640000001,0.7112996032000001,0.10616498290000001,5-fold,100
16,rf,auc,10,m-carlo,0.6513888889,0.0640285785,0.7134375,0.0682103521,5-fold,100
17,rf,pearson,10,m-carlo,0.6472222222,0.0541488575,0.7125,0.0420486873,5-fold,100
18,rf,pca,50,10-fold,0.6336601307,0.1424930707,0.6568154762,0.1053518601,5-fold,100
19,rf,auc,10,10-fold,0.6310457516,0.086124873,0.7258928571000001,0.1231963122,5-fold,100
20,rf,d,100,10-fold,0.6310457516,0.14980847460000002,0.6555357143,0.1465916871,5-fold,100
21,rf,d,10,10-fold,0.6310457516,0.0994506247,0.6816666667,0.1271820135,5-fold,100
22,rf,pca,50,m-carlo,0.6305555556,0.0662879104,0.659296875,0.0781964722,5-fold,100
23,rf,pca,10,10-fold,0.6261437908,0.08316335350000001,0.6441369048000001,0.11637890440000001,5-fold,100
24,rf,pca,100,5-fold,0.6249206349,0.08457428260000001,0.5993344298000001,0.0746741689,5-fold,100
25,rf,d,100,5-fold,0.6193650794000001,0.042508873,0.6594561404,0.0929661604,5-fold,100
26,rf,d,100,m-carlo,0.6138888889,0.07316079290000001,0.663828125,0.0766359325,5-fold,100
27,rf,pca,50,5-fold,0.6134920635000001,0.0566724465,0.6324923246,0.0550773465,5-fold,100
28,rf,d,50,m-carlo,0.6027777778,0.0715896726,0.68,0.0955401993,5-fold,100
29,rf,d,50,5-fold,0.6022222222,0.053682718000000004,0.6879638158,0.06597465620000001,5-fold,100
30,rf,d,10,m-carlo,0.5972222222,0.0594402086,0.6578125,0.0856266807,5-fold,100
31,rf,kpca,100,5-fold,0.5907936508,0.0723259329,0.5957182018,0.0500433843,5-fold,100
32,rf,d,10,5-fold,0.5906349206,0.061137903800000004,0.6108881579000001,0.1038760703,5-fold,100
33,rf,pca,100,m-carlo,0.5819444444,0.0580401991,0.597421875,0.050887161800000004,5-fold,100
34,rf,kpca,10,5-fold,0.5798412698000001,0.0740940071,0.5731776316,0.09096068680000001,5-fold,100
35,rf,kpca,50,m-carlo,0.5777777778000001,0.043781607,0.5815625,0.063297949,5-fold,100
36,rf,pca,10,m-carlo,0.5763888889000001,0.0636468847,0.599453125,0.0650097945,5-fold,100
37,rf,kpca,50,5-fold,0.5736507937,0.0316187926,0.5482214912,0.0735339377,5-fold,100
38,rf,pca,100,10-fold,0.5656862745,0.12056072840000001,0.5862202381,0.1499345075,5-fold,100
39,rf,kpca,10,10-fold,0.5630718954,0.1206453449,0.5456547619000001,0.1525123441,5-fold,100
40,rf,kpca,100,m-carlo,0.5611111111,0.0735483292,0.554375,0.0955280942,5-fold,100
41,rf,kpca,50,10-fold,0.5516339869,0.0846707298,0.5118253968,0.1531437716,5-fold,100
42,rf,kpca,100,10-fold,0.5392156863,0.0927910215,0.5322420635,0.1287584527,5-fold,100
43,rf,pca,10,5-fold,0.5342857143,0.056784591200000005,0.5941151316000001,0.08079628030000001,5-fold,100
44,rf,kpca,10,m-carlo,0.5069444444,0.0714619225,0.46796875,0.07326056510000001,5-fold,100
