,model,feat_select,n_feat,test_val,acc,acc_sd,auc,auc_sd,htune_val,htune_trials
0,svm,step-up,10,5-fold,0.8298412698000001,0.0518053998,0.8237214912,0.0664050476,5-fold,100
1,svm,step-up,50,5-fold,0.8296825397,0.0394900091,0.8268728070000001,0.0264622187,5-fold,100
2,svm,step-up,100,5-fold,0.796031746,0.0581210369,0.7942258772,0.049790351600000005,5-fold,100
3,svm,step-up,50,10-fold,0.7787581699,0.0733181019,0.8174603175,0.0479370992,5-fold,100
4,svm,step-up,10,m-carlo,0.7708333333,0.0516735831,0.82171875,0.0629790441,5-fold,100
5,svm,step-up,10,10-fold,0.7679738562,0.0524462009,0.8192857143000001,0.0802437472,5-fold,100
6,svm,step-up,100,10-fold,0.7277777778000001,0.1181106215,0.7667658730000001,0.0822296767,5-fold,100
7,svm,auc,100,10-fold,0.7264705882,0.1001947733,0.7553571429,0.0869455221,5-fold,100
8,svm,step-up,50,m-carlo,0.7236111111,0.0607745918,0.77875,0.06990359900000001,5-fold,100
9,svm,pearson,100,5-fold,0.7219047619000001,0.0523376444,0.7643991228,0.08398220890000001,5-fold,100
10,svm,auc,100,5-fold,0.7161904762,0.0955708473,0.7451513158,0.0764641161,5-fold,100
11,svm,pearson,50,10-fold,0.7160130719000001,0.0739851125,0.7473611111,0.0795342691,5-fold,100
12,svm,auc,50,10-fold,0.7156862745,0.08423797350000001,0.7566269841000001,0.1065329495,5-fold,100
13,svm,auc,50,m-carlo,0.7138888889,0.051060870300000005,0.78390625,0.0671790845,5-fold,100
14,svm,auc,50,5-fold,0.7107936508,0.06993500200000001,0.7699978070000001,0.0796107984,5-fold,100
15,svm,pearson,50,5-fold,0.7106349206,0.07677438290000001,0.740370614,0.0670341544,5-fold,100
16,svm,auc,100,m-carlo,0.7069444444,0.060102657500000004,0.7837500000000001,0.0655395747,5-fold,100
17,svm,pearson,10,5-fold,0.7047619048,0.0409634537,0.7177236842,0.06802672300000001,5-fold,100
18,svm,pearson,100,10-fold,0.6993464052,0.0560128982,0.7760119048,0.07967501490000001,5-fold,100
19,svm,auc,10,m-carlo,0.6958333333000001,0.0652847763,0.74875,0.0634986013,5-fold,100
20,svm,pearson,100,m-carlo,0.6944444444,0.064988628,0.7898437500000001,0.0707606333,5-fold,100
21,svm,pearson,10,10-fold,0.6934640523000001,0.0804597315,0.7352777778,0.1303667158,5-fold,100
22,svm,auc,10,5-fold,0.6876190476,0.0850236728,0.7206535088,0.088780866,5-fold,100
23,svm,pearson,10,m-carlo,0.6861111111,0.0668977477,0.73453125,0.0637899369,5-fold,100
24,svm,auc,10,10-fold,0.6810457516,0.0989572127,0.7263888889,0.1569433157,5-fold,100
25,svm,d,50,10-fold,0.6758169935,0.0993473608,0.7142063492,0.12399247520000001,5-fold,100
26,svm,pearson,50,m-carlo,0.6722222222,0.0595084915,0.745625,0.0651131353,5-fold,100
27,svm,pca,50,m-carlo,0.6555555556,0.0512989176,0.71421875,0.07370367500000001,5-fold,100
28,svm,step-up,100,m-carlo,0.65,0.0717596523,0.70703125,0.07936758540000001,5-fold,100
29,svm,pca,100,10-fold,0.6473856209000001,0.11089142710000001,0.6425992063,0.1350907687,5-fold,100
30,svm,pca,100,m-carlo,0.6444444444,0.0683985568,0.7037500000000001,0.06602400630000001,5-fold,100
31,svm,d,100,5-fold,0.6422222222,0.11800389030000001,0.6658092105,0.14971596280000002,5-fold,100
32,svm,d,50,5-fold,0.6420634921,0.0958479154,0.6829166667000001,0.106513562,5-fold,100
33,svm,d,50,m-carlo,0.6416666667,0.0753484433,0.7240624999999999,0.0673916345,5-fold,100
34,svm,pca,10,5-fold,0.6371428571000001,0.108609016,0.6134758772000001,0.1463154349,5-fold,100
35,svm,pca,50,10-fold,0.6356209150000001,0.1086188295,0.6798015873000001,0.12019951970000001,5-fold,100
36,svm,d,100,m-carlo,0.6333333333,0.07073364730000001,0.7068749999999999,0.0719186081,5-fold,100
37,svm,d,100,10-fold,0.6196078431,0.1073656382,0.7183730159,0.1579322206,5-fold,100
38,svm,d,10,m-carlo,0.6166666667,0.0746444899,0.65375,0.08604643220000001,5-fold,100
39,svm,pca,50,5-fold,0.6138095238,0.0835100168,0.660379386,0.0603000054,5-fold,100
40,svm,d,10,5-fold,0.6087301587,0.0920669129,0.619875,0.062139865200000005,5-fold,100
41,svm,pca,100,5-fold,0.6022222222,0.1125955265,0.6592916667000001,0.0867887261,5-fold,100
42,svm,d,10,10-fold,0.6019607843,0.0899969384,0.6350793651000001,0.09710480440000001,5-fold,100
43,svm,pca,10,m-carlo,0.5944444444,0.0756174497,0.62296875,0.0940033583,5-fold,100
44,svm,pca,10,10-fold,0.5797385621000001,0.12414669040000001,0.6154960317,0.132602058,5-fold,100
