,model,feat_select,n_feat,test_val,acc,acc_sd,auc,auc_sd,htune_val,htune_trials
30,bag,auc,50,5-fold,0.7501587301587301,0.04988775508915719,0.7963223684210526,0.03580551064256137,5-fold,100
31,bag,auc,50,10-fold,0.7444444444444444,0.08673377462762683,0.8015277777777777,0.08639839886846584,10-fold,100
32,bag,auc,50,m-carlo,0.7319444444444444,0.06261766052805309,0.8225000000000001,0.0710919877601141,m-carlo,100
43,bag,pearson,100,10-fold,0.7150326797385621,0.11049854639246336,0.7989880952380953,0.09768477994062522,10-fold,100
44,bag,pearson,100,m-carlo,0.7138888888888888,0.05339360629309898,0.8189062500000001,0.05331790634030146,m-carlo,100
38,bag,pearson,10,m-carlo,0.711111111111111,0.05937184723683854,0.7701562500000001,0.06571872223577258,m-carlo,100
34,bag,auc,100,10-fold,0.7107843137254901,0.0999481308989199,0.765734126984127,0.10746990429324009,10-fold,100
35,bag,auc,100,m-carlo,0.7055555555555555,0.07175965226579169,0.7878125,0.06376918570949944,m-carlo,100
42,bag,pearson,100,5-fold,0.7044444444444445,0.06621540393151018,0.7961644736842104,0.06434733356489104,5-fold,100
33,bag,auc,100,5-fold,0.6988888888888889,0.04292909891185378,0.7524364035087718,0.06979392266305955,5-fold,100
29,bag,auc,10,m-carlo,0.6944444444444444,0.06744188651854267,0.7568750000000001,0.07686550540426201,m-carlo,100
39,bag,pearson,50,5-fold,0.687936507936508,0.07796866759623494,0.7306118421052632,0.1256140016837834,5-fold,100
41,bag,pearson,50,m-carlo,0.6833333333333333,0.06887190886754287,0.7510937500000001,0.0756840719159343,m-carlo,100
21,bag,d,50,5-fold,0.6822222222222222,0.05845495366055642,0.7208728070175437,0.06494239832959858,5-fold,100
28,bag,auc,10,10-fold,0.6758169934640523,0.11423686562286654,0.7570238095238095,0.1338827964101556,10-fold,100
27,bag,auc,10,5-fold,0.6706349206349206,0.11092671774418741,0.7460614035087719,0.07744010980325643,5-fold,100
40,bag,pearson,50,10-fold,0.6653594771241831,0.08657492644326248,0.7474404761904762,0.10881667641733729,10-fold,100
36,bag,pearson,10,5-fold,0.6647619047619047,0.03713064512308178,0.7484978070175439,0.04816211000190225,5-fold,100
37,bag,pearson,10,10-fold,0.6598039215686275,0.08964883506054072,0.7597420634920635,0.10301768057332673,10-fold,100
23,bag,d,50,m-carlo,0.6541666666666666,0.08429031409380609,0.7214062499999998,0.084117388165446,m-carlo,100
5,bag,pca,50,m-carlo,0.6500000000000001,0.07615261172740224,0.6607812500000001,0.08326496304403,m-carlo,100
25,bag,d,100,10-fold,0.6486928104575163,0.07921794518279335,0.7059722222222222,0.06629422253710306,10-fold,100
22,bag,d,50,10-fold,0.6424836601307191,0.11407470652970068,0.7217261904761905,0.10044866987505319,10-fold,100
7,bag,pca,100,10-fold,0.6362745098039215,0.12741885523288754,0.6420634920634921,0.1507476955872551,10-fold,100
8,bag,pca,100,m-carlo,0.6333333333333334,0.04469956020210049,0.69203125,0.06422356197556275,m-carlo,100
26,bag,d,100,m-carlo,0.6319444444444444,0.05969586661761489,0.6921875000000001,0.08058623098892266,m-carlo,100
6,bag,pca,100,5-fold,0.6253968253968254,0.11108843305982666,0.6625043859649123,0.14588260478826517,5-fold,100
18,bag,d,10,5-fold,0.6250793650793651,0.03585334479628618,0.6838662280701755,0.10374788150911082,5-fold,100
20,bag,d,10,m-carlo,0.6250000000000001,0.06833915726620024,0.694375,0.10084755953000497,m-carlo,100
3,bag,pca,50,5-fold,0.6249206349206349,0.062349844822645016,0.5948596491228071,0.11623120402925048,5-fold,100
4,bag,pca,50,10-fold,0.6137254901960784,0.1157844976878702,0.6485714285714286,0.12066108999779412,10-fold,100
24,bag,d,100,5-fold,0.5968253968253968,0.04370126951725779,0.6833289473684211,0.06079637264338064,5-fold,100
2,bag,pca,10,m-carlo,0.5958333333333334,0.0594231256519565,0.6703125000000001,0.0939936526762369,m-carlo,100
19,bag,d,10,10-fold,0.592483660130719,0.08290397314198271,0.7113095238095238,0.1277207676231134,10-fold,100
1,bag,pca,10,10-fold,0.5797385620915033,0.0948175581110251,0.6749404761904763,0.0775397485418315,10-fold,100
15,bag,kpca,100,5-fold,0.5796825396825398,0.06042596756411487,0.49912938596491224,0.04304345525044299,5-fold,100
12,bag,kpca,50,5-fold,0.5682539682539682,0.053921548417342945,0.5943135964912281,0.04909630271624065,5-fold,100
13,bag,kpca,50,10-fold,0.5617647058823529,0.10875202921745722,0.5676190476190476,0.14519124927561286,10-fold,100
16,bag,kpca,100,10-fold,0.5575163398692811,0.07878159521691867,0.5598214285714287,0.15747226027177627,10-fold,100
0,bag,pca,10,5-fold,0.5569841269841269,0.04054771147699544,0.6145153508771929,0.09132222112674447,5-fold,100
17,bag,kpca,100,m-carlo,0.551388888888889,0.03852692871897811,0.48328125,0.10379455190391357,m-carlo,100
10,bag,kpca,10,10-fold,0.5454248366013073,0.03666511970245968,0.44696428571428565,0.15443887991819125,10-fold,100
9,bag,kpca,10,5-fold,0.5453968253968254,0.020986023975921805,0.5355109649122808,0.07760503080229314,5-fold,100
14,bag,kpca,50,m-carlo,0.5444444444444443,0.06461260576630254,0.56734375,0.07997143687255175,m-carlo,100
11,bag,kpca,10,m-carlo,0.5430555555555555,0.021087629292118017,0.51359375,0.09267073392385991,m-carlo,100
