,model,feat_select,n_feat,test_val,acc,acc_sd,auc,auc_sd,htune_val,htune_trials
27,dtree,auc,10,5-fold,0.6812698412698412,0.07036599421488575,0.6877642543859649,0.08250784043597527,5-fold,100
30,dtree,auc,50,5-fold,0.6646031746031746,0.06905126792037158,0.6626315789473685,0.06635735355371336,5-fold,100
42,dtree,pearson,100,5-fold,0.6592063492063491,0.03314192968355055,0.648684210526316,0.0370199374849715,5-fold,100
28,dtree,auc,10,10-fold,0.6584967320261439,0.14271607635899994,0.70375,0.1454202117377753,10-fold,100
39,dtree,pearson,50,5-fold,0.6533333333333333,0.04291002028978595,0.6466447368421052,0.04925989740453517,5-fold,100
31,dtree,auc,50,10-fold,0.6480392156862744,0.10675436841258555,0.6456944444444445,0.10748309074416483,10-fold,100
0,dtree,pca,10,5-fold,0.6473015873015873,0.04650008059768101,0.6419078947368422,0.05180688405618461,5-fold,100
36,dtree,pearson,10,5-fold,0.6423809523809524,0.04365656527499589,0.6625921052631579,0.0866576329060176,5-fold,100
32,dtree,auc,50,m-carlo,0.6263888888888889,0.07881256088395058,0.6231249999999999,0.08001593180176847,m-carlo,100
38,dtree,pearson,10,m-carlo,0.6249999999999999,0.07567113622577504,0.65515625,0.06663365667815802,m-carlo,100
25,dtree,d,100,10-fold,0.6199346405228757,0.16226951887595328,0.606765873015873,0.1614765018549063,10-fold,100
40,dtree,pearson,50,10-fold,0.6189542483660131,0.07628695154597051,0.6124603174603174,0.07828088818657086,10-fold,100
37,dtree,pearson,10,10-fold,0.6176470588235293,0.11264901761041407,0.6957142857142857,0.11330165998988094,10-fold,100
35,dtree,auc,100,m-carlo,0.6166666666666667,0.10019474215135157,0.6134375,0.09786526973210079,m-carlo,100
34,dtree,auc,100,10-fold,0.6078431372549019,0.09227807662112146,0.6090873015873016,0.08864905285980379,10-fold,100
44,dtree,pearson,100,m-carlo,0.6041666666666667,0.07746123975716723,0.6009374999999999,0.07770016066331692,m-carlo,100
41,dtree,pearson,50,m-carlo,0.601388888888889,0.06390160056607175,0.5981250000000001,0.06698082502517143,m-carlo,100
19,dtree,d,10,10-fold,0.5964052287581699,0.11516227350524443,0.643095238095238,0.1394462173867109,10-fold,100
33,dtree,auc,100,5-fold,0.5903174603174602,0.11189688140663756,0.5796710526315789,0.11033447000653075,5-fold,100
1,dtree,pca,10,10-fold,0.5875816993464053,0.15715598347562612,0.5789087301587302,0.16691672709189093,10-fold,100
18,dtree,d,10,5-fold,0.5852380952380951,0.05891113258077896,0.5797861842105263,0.04869831253449836,5-fold,100
2,dtree,pca,10,m-carlo,0.5819444444444445,0.08619595895302203,0.57109375,0.08849803814172495,m-carlo,100
5,dtree,pca,50,m-carlo,0.5805555555555555,0.07747434545724532,0.5728125,0.08053263783447645,m-carlo,100
20,dtree,d,10,m-carlo,0.5777777777777778,0.09173088305354404,0.5835156250000001,0.10443185473852451,m-carlo,100
29,dtree,auc,10,m-carlo,0.575,0.07964549458894137,0.60625,0.10145426925467453,m-carlo,100
10,dtree,kpca,10,10-fold,0.5745098039215686,0.09943093525722475,0.577609126984127,0.10165688205675566,10-fold,100
21,dtree,d,50,5-fold,0.5739682539682539,0.032792283196486936,0.5708771929824563,0.03580489648771736,5-fold,100
9,dtree,kpca,10,5-fold,0.5738095238095238,0.0573903371104474,0.5661129385964911,0.07777392048997804,5-fold,100
3,dtree,pca,50,5-fold,0.5738095238095238,0.04977272609611162,0.5686184210526315,0.05222651141825883,5-fold,100
12,dtree,kpca,50,5-fold,0.5682539682539682,0.07318820243427622,0.5546008771929826,0.1091957979922716,5-fold,100
23,dtree,d,50,m-carlo,0.5638888888888889,0.09999187751288105,0.5590624999999999,0.09910112043952087,m-carlo,100
15,dtree,kpca,100,5-fold,0.5625396825396825,0.04243768867416132,0.5522982456140351,0.06388035446396634,5-fold,100
43,dtree,pearson,100,10-fold,0.5588235294117647,0.1131010662520036,0.551031746031746,0.12145489392051537,10-fold,100
14,dtree,kpca,50,m-carlo,0.5583333333333333,0.04497129255420731,0.5501562500000001,0.05882689361872637,m-carlo,100
16,dtree,kpca,100,10-fold,0.5552287581699347,0.10264478778257961,0.5652876984126984,0.13802523782886514,10-fold,100
22,dtree,d,50,10-fold,0.5516339869281046,0.1271554960660289,0.5515476190476191,0.12297240655528577,10-fold,100
4,dtree,pca,50,10-fold,0.5444444444444445,0.08115578072397353,0.537063492063492,0.07970176600400532,10-fold,100
26,dtree,d,100,m-carlo,0.5444444444444445,0.10212174059686856,0.5387500000000001,0.0976196971064646,m-carlo,100
8,dtree,pca,100,m-carlo,0.5416666666666667,0.0862077367707928,0.5356250000000001,0.08780726126909408,m-carlo,100
17,dtree,kpca,100,m-carlo,0.538888888888889,0.07668403905216604,0.527578125,0.0799093515905885,m-carlo,100
13,dtree,kpca,50,10-fold,0.5352941176470589,0.08025299253716023,0.5226190476190476,0.1052654632050046,10-fold,100
11,dtree,kpca,10,m-carlo,0.5291666666666667,0.05517044886123692,0.5125781249999999,0.08091478642632487,m-carlo,100
7,dtree,pca,100,10-fold,0.5284313725490196,0.11183550017841455,0.5188690476190475,0.10625886428720645,10-fold,100
6,dtree,pca,100,5-fold,0.5228571428571429,0.05306907320287631,0.5128508771929825,0.04966811162432964,5-fold,100
24,dtree,d,100,5-fold,0.5115873015873016,0.06869459103884712,0.5072149122807017,0.06606149902035413,5-fold,100
