,model,feat_select,n_feat,test_val,acc,acc_sd,auc,auc_sd,htune_val,htune_trials
31,mlp,auc,50,10-fold,0.7088235294117647,0.09699822544868998,0.744077380952381,0.06525944916854808,10-fold,100
42,mlp,pearson,100,5-fold,0.7047619047619047,0.05753831415997418,0.7733048245614036,0.055045539089847224,5-fold,100
32,mlp,auc,50,m-carlo,0.6902777777777778,0.07112013374777564,0.76515625,0.07604314991944411,m-carlo,100
38,mlp,pearson,10,m-carlo,0.6861111111111111,0.06505108703646989,0.7464843750000001,0.06665057607183328,m-carlo,100
44,mlp,pearson,100,m-carlo,0.6833333333333333,0.0512989176042577,0.7574218750000001,0.0583156778869779,m-carlo,100
43,mlp,pearson,100,10-fold,0.6754901960784314,0.08175089151030071,0.8001984126984129,0.09879717204623614,10-fold,100
41,mlp,pearson,50,m-carlo,0.6680555555555556,0.07292449832628503,0.7475,0.07920373670411475,m-carlo,100
40,mlp,pearson,50,10-fold,0.6647058823529413,0.11942098415823632,0.7446428571428572,0.10073426572050558,10-fold,100
39,mlp,pearson,50,5-fold,0.6644444444444444,0.08790269248396758,0.7147083333333333,0.12989876533713132,5-fold,100
29,mlp,auc,10,m-carlo,0.6597222222222222,0.07089135910195005,0.71734375,0.06478928237137195,m-carlo,100
30,mlp,auc,50,5-fold,0.6593650793650794,0.0789800182670423,0.7425877192982456,0.058298565024387516,5-fold,100
36,mlp,pearson,10,5-fold,0.659047619047619,0.10506449806111708,0.7247280701754386,0.09796879273028973,5-fold,100
37,mlp,pearson,10,10-fold,0.6588235294117648,0.0971296465806505,0.7542460317460318,0.1287956109416513,10-fold,100
22,mlp,d,50,10-fold,0.6542483660130718,0.09179846563202818,0.6983333333333333,0.08566963122533977,10-fold,100
27,mlp,auc,10,5-fold,0.6533333333333333,0.10204263036936287,0.7422324561403508,0.11846804663715352,5-fold,100
18,mlp,d,10,5-fold,0.6482539682539683,0.09705671042773222,0.6952456140350878,0.1212164604591386,5-fold,100
24,mlp,d,100,5-fold,0.6365079365079366,0.11604683635831264,0.6574287280701754,0.14781959625614188,5-fold,100
28,mlp,auc,10,10-fold,0.6307189542483659,0.0810357948296178,0.7283333333333333,0.12491815158581249,10-fold,100
20,mlp,d,10,m-carlo,0.6291666666666667,0.07973467616724718,0.6796875,0.08920161687966965,m-carlo,100
33,mlp,auc,100,5-fold,0.6203174603174603,0.16042900409998492,0.6734978070175439,0.1599215360258417,5-fold,100
5,mlp,pca,50,m-carlo,0.6194444444444445,0.0662879104326397,0.6265625,0.09240398866775461,m-carlo,100
21,mlp,d,50,5-fold,0.6193650793650793,0.086725371129102,0.6390482456140351,0.13018590767177923,5-fold,100
19,mlp,d,10,10-fold,0.6147058823529412,0.07372804607301453,0.6693849206349206,0.11272616260746927,10-fold,100
23,mlp,d,50,m-carlo,0.6041666666666666,0.0753349678099007,0.68078125,0.09106362207161887,m-carlo,100
4,mlp,pca,50,10-fold,0.6029411764705883,0.13496419907732868,0.6193253968253968,0.16165620266374683,10-fold,100
25,mlp,d,100,10-fold,0.6019607843137254,0.11718014341635855,0.6666369047619047,0.14082553204318335,10-fold,100
35,mlp,auc,100,m-carlo,0.6013888888888889,0.08657205436970276,0.7179687499999999,0.10198923507274521,m-carlo,100
26,mlp,d,100,m-carlo,0.5986111111111111,0.09600321835086152,0.640625,0.09743708960617128,m-carlo,100
34,mlp,auc,100,10-fold,0.5983660130718954,0.13131174593823267,0.7508333333333332,0.14044962083947798,10-fold,100
7,mlp,pca,100,10-fold,0.5905228758169936,0.11568453075668853,0.6650099206349207,0.10405459295971317,10-fold,100
8,mlp,pca,100,m-carlo,0.5888888888888889,0.0701571613625319,0.6146874999999999,0.09483933999762025,m-carlo,100
1,mlp,pca,10,10-fold,0.5856209150326797,0.08034166010650587,0.5966666666666667,0.11210342042394736,10-fold,100
9,mlp,kpca,10,5-fold,0.5849206349206348,0.036308981694278965,0.5433991228070175,0.10718420433449187,5-fold,100
0,mlp,pca,10,5-fold,0.5746031746031746,0.09550227908883382,0.6003410087719299,0.09386409393809274,5-fold,100
2,mlp,pca,10,m-carlo,0.5722222222222222,0.09929903773645851,0.601328125,0.10592087545189906,m-carlo,100
6,mlp,pca,100,5-fold,0.5684126984126984,0.06892527018257158,0.627186403508772,0.0482619674237931,5-fold,100
3,mlp,pca,50,5-fold,0.5680952380952381,0.04310773299526352,0.5928640350877192,0.05780055221012707,5-fold,100
13,mlp,kpca,50,10-fold,0.5568627450980392,0.08201391871911695,0.5047222222222223,0.1805527646740522,10-fold,100
14,mlp,kpca,50,m-carlo,0.5444444444444444,0.06945906278887422,0.531015625,0.08987792542224836,m-carlo,100
12,mlp,kpca,50,5-fold,0.5396825396825398,0.05557822666670348,0.5604572368421052,0.08405581280375073,5-fold,100
15,mlp,kpca,100,5-fold,0.5395238095238095,0.06378997568374226,0.5227839912280702,0.044612338105376806,5-fold,100
11,mlp,kpca,10,m-carlo,0.5347222222222222,0.03810296061380747,0.46039062500000005,0.09360223415109092,m-carlo,100
16,mlp,kpca,100,10-fold,0.5333333333333333,0.0944363401246497,0.5193749999999999,0.09861754334519886,10-fold,100
17,mlp,kpca,100,m-carlo,0.5319444444444444,0.052762386182881295,0.49585937500000005,0.05618434353510232,m-carlo,100
10,mlp,kpca,10,10-fold,0.5284313725490196,0.05922661057555678,0.45372023809523804,0.09872155854474823,10-fold,100
