,model,feat_select,n_feat,test_val,acc,acc_sd,auc,auc_sd,htune_val,htune_trials
81,bag,pearson,20,5-fold,0.7416806722689075,0.051922981862341205,0.7789473684210526,0.07809303824506598,5-fold,100
58,bag,auc,50,10-fold,0.7362745098039216,0.12212150071803932,0.7846428571428572,0.10748358520460403,10-fold,100
72,bag,pearson,20,5-fold,0.7357983193277311,0.06743036434524095,0.7768070175438597,0.07920905945679936,5-fold,100
88,bag,pearson,100,10-fold,0.7303921568627452,0.10518894405508683,0.7976587301587301,0.13313512762267166,10-fold,100
57,bag,auc,50,5-fold,0.729747899159664,0.02718847793444459,0.7843157894736843,0.08046921110956584,5-fold,100
83,bag,pearson,20,m-carlo,0.7271428571428571,0.07385357243300474,0.7845000000000001,0.07185328619375807,m-carlo,100
79,bag,pearson,100,10-fold,0.7228758169934641,0.07574997664143714,0.7943055555555556,0.07980949480527565,10-fold,100
74,bag,pearson,20,m-carlo,0.72,0.06593946382377,0.7843333333333333,0.0670872696894572,m-carlo,100
82,bag,pearson,20,10-fold,0.719281045751634,0.07511523195392508,0.765376984126984,0.10113064290805344,10-fold,100
66,bag,auc,50,5-fold,0.7183193277310924,0.08204882967623196,0.7849473684210526,0.06833557413617572,5-fold,100
87,bag,pearson,100,5-fold,0.7181512605042017,0.04878149450994534,0.7957894736842105,0.05641885415111,5-fold,100
54,bag,auc,20,5-fold,0.717983193277311,0.07883410009570647,0.7556491228070176,0.09381876466497813,5-fold,100
59,bag,auc,50,m-carlo,0.7142857142857142,0.06218367858085815,0.8011666666666667,0.06572381518932796,m-carlo,100
55,bag,auc,20,10-fold,0.7130718954248366,0.09783081214464265,0.7628373015873017,0.11360801671794572,10-fold,100
61,bag,auc,100,10-fold,0.7130718954248366,0.0692179869502148,0.7860714285714285,0.1142509867872458,10-fold,100
63,bag,auc,20,5-fold,0.7126050420168067,0.03519393544768392,0.7638947368421053,0.09208499359253333,5-fold,100
75,bag,pearson,50,5-fold,0.712436974789916,0.04221131448995121,0.7796842105263158,0.07312511361146348,5-fold,100
89,bag,pearson,100,m-carlo,0.7099999999999999,0.07880689256524126,0.7895000000000001,0.06486400528248736,m-carlo,100
56,bag,auc,20,m-carlo,0.7057142857142856,0.08033228521124623,0.7646666666666666,0.07344011364641034,m-carlo,100
73,bag,pearson,20,10-fold,0.7022875816993464,0.07040189638958984,0.7768253968253969,0.08520396659432238,10-fold,100
70,bag,auc,100,10-fold,0.7016339869281045,0.08800030571802404,0.7706944444444443,0.11312567468468289,10-fold,100
78,bag,pearson,100,5-fold,0.7006722689075631,0.07733466935316269,0.8006666666666666,0.05293602008294753,5-fold,100
71,bag,auc,100,m-carlo,0.7,0.053652820375673024,0.7751666666666667,0.06333310249265409,m-carlo,100
67,bag,auc,50,10-fold,0.696078431372549,0.10052524614430784,0.7732738095238096,0.1140624369039679,10-fold,100
85,bag,pearson,50,10-fold,0.6957516339869281,0.08111556133215285,0.7818055555555556,0.08706156127129361,10-fold,100
65,bag,auc,20,m-carlo,0.6957142857142855,0.07196788876966921,0.7583333333333333,0.07883286042660721,m-carlo,100
84,bag,pearson,50,5-fold,0.6951260504201681,0.06434582788332982,0.7734035087719299,0.07884414304161573,5-fold,100
68,bag,auc,50,m-carlo,0.6942857142857142,0.06754876505592107,0.7840000000000001,0.06569110775003646,m-carlo,100
80,bag,pearson,100,m-carlo,0.6928571428571427,0.05926510195169492,0.786,0.05588835989658155,m-carlo,100
76,bag,pearson,50,10-fold,0.6901960784313725,0.07556176206374905,0.7740873015873015,0.09422150892319739,10-fold,100
64,bag,auc,20,10-fold,0.6839869281045752,0.09111404406132309,0.7715476190476191,0.1005519067001869,10-fold,100
86,bag,pearson,50,m-carlo,0.6828571428571427,0.05068806904702956,0.7665,0.06266475361021727,m-carlo,100
