,model,feat_select,n_feat,test_val,acc,acc_sd,auc,auc_sd,htune_val,htune_trials
0,dtree,pca,20,5-fold,0.5978151260504202,0.08961624435352235,0.5881578947368421,0.09395746255991949,5-fold,100
1,dtree,pca,20,10-fold,0.619281045751634,0.15199299211237907,0.6113492063492064,0.1558428368450676,10-fold,100
2,dtree,pca,20,m-carlo,0.6428571428571427,0.05751756841776025,0.6345833333333333,0.06473489572978551,m-carlo,100
3,dtree,pca,50,5-fold,0.5971428571428572,0.059246975295222055,0.5848245614035088,0.057887459670233836,5-fold,100
4,dtree,pca,50,10-fold,0.6372549019607844,0.1289090387144838,0.6540376984126984,0.15096171516235296,10-fold,100
5,dtree,pca,50,m-carlo,0.5714285714285714,0.06218367858085815,0.5864166666666668,0.08188616224522591,m-carlo,100
6,dtree,pca,100,5-fold,0.6314285714285715,0.08475655413823616,0.624561403508772,0.08482789503418704,5-fold,100
7,dtree,pca,100,10-fold,0.5339869281045753,0.12121593993702452,0.5281150793650793,0.1268946392271977,10-fold,100
8,dtree,pca,100,m-carlo,0.5957142857142858,0.05184045589965424,0.5879166666666666,0.06279753738606624,m-carlo,100
9,dtree,pca,20,5-fold,0.6036974789915966,0.06643865629123319,0.5920175438596491,0.07501628529461381,5-fold,100
10,dtree,pca,20,10-fold,0.6483660130718955,0.12308114922607213,0.6463690476190476,0.1272280178947034,10-fold,100
11,dtree,pca,20,m-carlo,0.6457142857142856,0.05744282170857541,0.6387499999999999,0.06613134856600082,m-carlo,100
12,dtree,pca,50,5-fold,0.6084033613445378,0.0904445314088989,0.6023684210526317,0.09235534137079915,5-fold,100
13,dtree,pca,50,10-fold,0.6238562091503268,0.1695462994728967,0.6190674603174603,0.16353781962968547,10-fold,100
14,dtree,pca,50,m-carlo,0.5871428571428571,0.06841774758604367,0.575,0.07374684055082002,m-carlo,100
15,dtree,pca,100,5-fold,0.5563025210084034,0.12622956457563292,0.5504385964912281,0.1348158148722684,5-fold,100
16,dtree,pca,100,10-fold,0.6026143790849675,0.1237445917042785,0.5933134920634922,0.1159434751259778,10-fold,100
17,dtree,pca,100,m-carlo,0.557142857142857,0.05676567244564473,0.5454166666666667,0.0620951801954771,m-carlo,100
18,dtree,kpca,20,5-fold,0.5983193277310924,0.08045313374723652,0.6022456140350878,0.10370896860581948,5-fold,100
19,dtree,kpca,20,10-fold,0.568954248366013,0.07337310910848202,0.5300694444444445,0.0909452312783779,10-fold,100
20,dtree,kpca,20,m-carlo,0.5814285714285713,0.05882852067027942,0.5513333333333332,0.10395483724740516,m-carlo,100
21,dtree,kpca,50,5-fold,0.5863865546218487,0.029438163422939607,0.5707017543859649,0.06193380037931176,5-fold,100
22,dtree,kpca,50,10-fold,0.6150326797385621,0.0659522861995369,0.6278174603174603,0.09092561467280887,10-fold,100
23,dtree,kpca,50,m-carlo,0.5857142857142856,0.043970500803649476,0.5531666666666667,0.0821546466422459,m-carlo,100
24,dtree,kpca,100,5-fold,0.5285714285714286,0.05345224838248487,0.500859649122807,0.1152008630294098,5-fold,100
25,dtree,kpca,100,10-fold,0.534640522875817,0.10341357412649617,0.5147619047619048,0.13905348806650564,10-fold,100
26,dtree,kpca,100,m-carlo,0.5199999999999999,0.06912060786620565,0.5048333333333334,0.08941966893800525,m-carlo,100
27,dtree,kpca,20,5-fold,0.6031932773109243,0.06391086406316593,0.5934561403508771,0.09015906653888345,5-fold,100
28,dtree,kpca,20,10-fold,0.5637254901960784,0.06915710128217288,0.5270238095238095,0.11948100677026446,10-fold,100
29,dtree,kpca,20,m-carlo,0.5571428571428572,0.04588314677411235,0.5033333333333333,0.08258966419340223,m-carlo,100
30,dtree,kpca,50,5-fold,0.6036974789915965,0.044329622804033506,0.6014385964912281,0.07853443665579664,5-fold,100
31,dtree,kpca,50,10-fold,0.6150326797385621,0.07564024171979145,0.6189781746031746,0.10389935940572796,10-fold,100
32,dtree,kpca,50,m-carlo,0.5985714285714284,0.025344034523514778,0.5729166666666666,0.062278555065549086,m-carlo,100
33,dtree,kpca,100,5-fold,0.5694117647058823,0.04513473462282123,0.535719298245614,0.06990406410145902,5-fold,100
34,dtree,kpca,100,10-fold,0.5516339869281046,0.06546469381427238,0.5005059523809524,0.0728440884338989,10-fold,100
35,dtree,kpca,100,m-carlo,0.5757142857142856,0.05955437811562631,0.5344166666666667,0.08370491716676348,m-carlo,100
36,dtree,d,20,5-fold,0.586218487394958,0.042871969753575774,0.5778947368421053,0.05076041498202544,5-fold,100
37,dtree,d,20,10-fold,0.638888888888889,0.1083563195326684,0.6380158730158729,0.10863880706545283,10-fold,100
38,dtree,d,20,m-carlo,0.5571428571428572,0.08521155829478008,0.5433333333333333,0.08700675513198095,m-carlo,100
39,dtree,d,50,5-fold,0.5805042016806723,0.05503528087592295,0.5617543859649123,0.06029018903958631,5-fold,100
40,dtree,d,50,10-fold,0.5473856209150327,0.11498697266493813,0.5396031746031746,0.12283165930692588,10-fold,100
41,dtree,d,50,m-carlo,0.5557142857142857,0.09104949610590143,0.5362500000000001,0.0898453430763922,m-carlo,100
42,dtree,d,100,5-fold,0.6194957983193277,0.13929620224909114,0.6185087719298246,0.13253105816707955,5-fold,100
43,dtree,d,100,10-fold,0.592156862745098,0.14614660994522938,0.5763690476190477,0.1530524869955082,10-fold,100
44,dtree,d,100,m-carlo,0.5742857142857143,0.08886441959421892,0.5620833333333333,0.0946861158054115,m-carlo,100
45,dtree,d,20,5-fold,0.6035294117647059,0.04585956894209578,0.5942982456140351,0.05294588170630793,5-fold,100
46,dtree,d,20,10-fold,0.650326797385621,0.12696123995061845,0.6465674603174604,0.13223501541131777,10-fold,100
47,dtree,d,20,m-carlo,0.5828571428571427,0.07666518779999279,0.5716666666666667,0.07744079043625403,m-carlo,100
48,dtree,d,50,5-fold,0.5458823529411765,0.08709061422739647,0.5368421052631579,0.0883437205342472,5-fold,100
49,dtree,d,50,10-fold,0.5970588235294119,0.10148916586357261,0.5888293650793651,0.09377784712816216,10-fold,100
50,dtree,d,50,m-carlo,0.5785714285714285,0.07052054419527888,0.57,0.07509253550712541,m-carlo,100
51,dtree,d,100,5-fold,0.6080672268907563,0.11867141083569872,0.601842105263158,0.10770129571265177,5-fold,100
52,dtree,d,100,10-fold,0.592156862745098,0.09182431488932877,0.5835119047619047,0.0947598981800794,10-fold,100
53,dtree,d,100,m-carlo,0.5771428571428572,0.07216165168717571,0.5691666666666666,0.07320463187978594,m-carlo,100
54,dtree,auc,20,5-fold,0.6321008403361345,0.03216632855341832,0.6264912280701754,0.023222017152697953,5-fold,100
55,dtree,auc,20,10-fold,0.6558823529411766,0.08578803118133964,0.6538492063492064,0.08715933576522672,10-fold,100
56,dtree,auc,20,m-carlo,0.6242857142857143,0.07431751777276661,0.6199999999999999,0.0687928494856179,m-carlo,100
57,dtree,auc,50,5-fold,0.5808403361344537,0.07486635693236875,0.5692982456140351,0.08912902312898623,5-fold,100
58,dtree,auc,50,10-fold,0.6101307189542483,0.06985365783372767,0.605813492063492,0.06347187799169325,10-fold,100
59,dtree,auc,50,m-carlo,0.6499999999999999,0.06480574956922254,0.6411666666666667,0.06653957183423292,m-carlo,100
60,dtree,auc,100,5-fold,0.6436974789915967,0.04289831602722764,0.6367543859649123,0.04773795913507692,5-fold,100
61,dtree,auc,100,10-fold,0.5918300653594771,0.07356692337759442,0.5902777777777778,0.06867028808450178,10-fold,100
62,dtree,auc,100,m-carlo,0.6199999999999999,0.050005370280881194,0.6125000000000002,0.05225192013595995,m-carlo,100
63,dtree,auc,20,5-fold,0.615126050420168,0.1072013351701816,0.6159649122807018,0.1095357308424006,5-fold,100
64,dtree,auc,20,10-fold,0.611764705882353,0.1491841897151699,0.6031746031746031,0.1489232369761813,10-fold,100
65,dtree,auc,20,m-carlo,0.6214285714285714,0.05552212862379553,0.6112499999999998,0.06071425500023797,m-carlo,100
66,dtree,auc,50,5-fold,0.5635294117647058,0.07983989345536603,0.554561403508772,0.0909855709171094,5-fold,100
67,dtree,auc,50,10-fold,0.5872549019607843,0.1476671835159726,0.5865079365079365,0.1494041031626111,10-fold,100
68,dtree,auc,50,m-carlo,0.6185714285714285,0.09822265856313123,0.615,0.10347048057720228,m-carlo,100
69,dtree,auc,100,5-fold,0.5852100840336134,0.11071663767374083,0.5868421052631579,0.10936322376475172,5-fold,100
70,dtree,auc,100,10-fold,0.5980392156862745,0.1151390872481378,0.5894047619047619,0.11760997008862781,10-fold,100
71,dtree,auc,100,m-carlo,0.6457142857142857,0.07610270633770304,0.6375000000000001,0.07470703013021732,m-carlo,100
72,dtree,pearson,20,5-fold,0.6379831932773109,0.06832713114499182,0.6426315789473686,0.08142224621767717,5-fold,100
73,dtree,pearson,20,10-fold,0.6196078431372549,0.13849596262530628,0.6031051587301588,0.14350618996190448,10-fold,100
74,dtree,pearson,20,m-carlo,0.5942857142857141,0.06973942601053776,0.5875,0.07587404921993582,m-carlo,100
75,dtree,pearson,50,5-fold,0.6315966386554622,0.0669890751611557,0.6257017543859649,0.060219314217807574,5-fold,100
76,dtree,pearson,50,10-fold,0.5816993464052288,0.14876361964866736,0.5749206349206349,0.14640969680908394,10-fold,100
77,dtree,pearson,50,m-carlo,0.6385714285714285,0.09282532711164265,0.6287499999999999,0.09457024215763851,m-carlo,100
78,dtree,pearson,100,5-fold,0.6028571428571429,0.0609449400220044,0.6004385964912281,0.054687548091699394,5-fold,100
79,dtree,pearson,100,10-fold,0.5816993464052287,0.16334784975143218,0.5732738095238096,0.16282211953997233,10-fold,100
80,dtree,pearson,100,m-carlo,0.6057142857142856,0.08218289315277395,0.5970833333333334,0.08631825208653646,m-carlo,100
81,dtree,pearson,20,5-fold,0.63109243697479,0.11246699176014528,0.6299122807017543,0.10666753231412365,5-fold,100
82,dtree,pearson,20,10-fold,0.6196078431372548,0.14065539005314617,0.6177777777777778,0.1359889428129998,10-fold,100
83,dtree,pearson,20,m-carlo,0.6185714285714285,0.09556210548275114,0.6154166666666667,0.09905529644792331,m-carlo,100
84,dtree,pearson,50,5-fold,0.5463865546218487,0.13760026292297556,0.5407017543859649,0.14627156816283968,5-fold,100
85,dtree,pearson,50,10-fold,0.5192810457516339,0.100021712937429,0.5186706349206348,0.10549103306056602,10-fold,100
86,dtree,pearson,50,m-carlo,0.6057142857142856,0.1013761380940591,0.6008333333333333,0.1039743839347937,m-carlo,100
87,dtree,pearson,100,5-fold,0.6203361344537814,0.08635941109709104,0.6114912280701754,0.08130519055057163,5-fold,100
88,dtree,pearson,100,10-fold,0.6620915032679738,0.13447049497854155,0.6554761904761903,0.1317235589936483,10-fold,100
89,dtree,pearson,100,m-carlo,0.6114285714285713,0.0861642325628631,0.60375,0.0873369407986688,m-carlo,100
