,model,feat_select,n_feat,test_val,acc,acc_sd,auc,auc_sd,htune_val,htune_trials
0,svm,pca,20,5-fold,0.6263865546218488,0.07300678612195827,0.6539649122807017,0.07528856970908425,5-fold,100
1,svm,pca,20,10-fold,0.6205882352941176,0.09149613521323102,0.7041468253968253,0.10733927102560548,10-fold,100
2,svm,pca,20,m-carlo,0.6171428571428571,0.07380992804481433,0.686,0.07334609139420463,m-carlo,100
3,svm,pca,50,5-fold,0.5973109243697479,0.11611000727752362,0.627859649122807,0.09190692094491382,5-fold,100
4,svm,pca,50,10-fold,0.5911764705882352,0.11431630188931562,0.6770039682539684,0.11214901085689698,10-fold,100
5,svm,pca,50,m-carlo,0.6214285714285713,0.0705205441952789,0.6873333333333334,0.06804367362560487,m-carlo,100
6,svm,pca,100,5-fold,0.5973109243697479,0.09903567237228958,0.6080350877192983,0.12182580442408941,5-fold,100
7,svm,pca,100,10-fold,0.631045751633987,0.1054615889917911,0.6617460317460317,0.15142833225164964,10-fold,100
8,svm,pca,100,m-carlo,0.6114285714285714,0.08616423256286308,0.651,0.08751340749409814,m-carlo,100
9,svm,pca,20,5-fold,0.6031932773109243,0.09036720200582567,0.6561052631578947,0.07850092090509896,5-fold,100
10,svm,pca,20,10-fold,0.6379084967320262,0.08612969514724447,0.7064285714285713,0.10397158603651213,10-fold,100
11,svm,pca,20,m-carlo,0.6199999999999999,0.06690968952322618,0.6876666666666666,0.07278181766386532,m-carlo,100
12,svm,pca,50,5-fold,0.5801680672268907,0.06805581396174898,0.6501403508771929,0.08542350095398486,5-fold,100
13,svm,pca,50,10-fold,0.6372549019607844,0.11181374658262606,0.6997420634920635,0.12753120310904273,10-fold,100
14,svm,pca,50,m-carlo,0.6485714285714285,0.0649547475296304,0.7046666666666667,0.06462125372312531,m-carlo,100
15,svm,pca,100,5-fold,0.5744537815126051,0.09908414728788908,0.618140350877193,0.12365077313353927,5-fold,100
16,svm,pca,100,10-fold,0.6421568627450982,0.12366833300757041,0.6586309523809525,0.13902324850304218,10-fold,100
17,svm,pca,100,m-carlo,0.6199999999999999,0.08601451180237848,0.6563333333333333,0.09201385606310791,m-carlo,100
18,svm,kpca,20,5-fold,0.5689075630252101,0.005637146161764156,0.48296491228070176,0.10598958772185044,5-fold,100
19,svm,kpca,20,10-fold,0.569281045751634,0.021446143272025646,0.48952380952380947,0.12755273241481443,10-fold,100
20,svm,kpca,20,m-carlo,0.5714285714285714,0.0,0.51625,0.05682607866441489,m-carlo,100
21,svm,kpca,50,5-fold,0.5689075630252101,0.005637146161764156,0.4546491228070176,0.10180405623756081,5-fold,100
22,svm,kpca,50,10-fold,0.569281045751634,0.021446143272025646,0.4530853174603175,0.12059200380736332,10-fold,100
23,svm,kpca,50,m-carlo,0.5714285714285714,0.0,0.49624999999999997,0.06878620790289881,m-carlo,100
24,svm,kpca,100,5-fold,0.5746218487394957,0.015200563434749589,0.4661052631578947,0.085209390309893,5-fold,100
25,svm,kpca,100,10-fold,0.5633986928104575,0.023626042199086643,0.48801587301587307,0.1256664646699969,10-fold,100
26,svm,kpca,100,m-carlo,0.5399999999999999,0.07114228341707846,0.45866666666666667,0.10062029837187149,m-carlo,100
27,svm,kpca,20,5-fold,0.5689075630252101,0.005637146161764156,0.4856315789473684,0.10374116048108604,5-fold,100
28,svm,kpca,20,10-fold,0.569281045751634,0.021446143272025646,0.4934523809523809,0.11865013006131789,10-fold,100
29,svm,kpca,20,m-carlo,0.5714285714285714,0.0,0.5065833333333334,0.05825803410699416,m-carlo,100
30,svm,kpca,50,5-fold,0.5689075630252101,0.005637146161764156,0.45961403508771925,0.10558739536962652,5-fold,100
31,svm,kpca,50,10-fold,0.569281045751634,0.021446143272025646,0.4602777777777778,0.12127097097038837,10-fold,100
32,svm,kpca,50,m-carlo,0.5685714285714285,0.012777531299998805,0.5052500000000001,0.07094449481833838,m-carlo,100
33,svm,kpca,100,5-fold,0.5574789915966386,0.024754996057650244,0.4643157894736841,0.08480887570640339,5-fold,100
34,svm,kpca,100,10-fold,0.5748366013071895,0.024477102367417004,0.5002380952380954,0.15229675873467705,10-fold,100
35,svm,kpca,100,m-carlo,0.5199999999999999,0.06849619933476797,0.45899999999999996,0.10328578419305469,m-carlo,100
36,svm,d,20,5-fold,0.6260504201680671,0.04020461752573339,0.6472280701754386,0.061106726387928724,5-fold,100
37,svm,d,20,10-fold,0.6094771241830065,0.09157132545293685,0.6718452380952381,0.11229494413578044,10-fold,100
38,svm,d,20,m-carlo,0.6285714285714284,0.07700070444807286,0.67,0.06483447209571329,m-carlo,100
39,svm,d,50,5-fold,0.6196638655462186,0.10255131112983458,0.6661754385964912,0.10674493608076129,5-fold,100
40,svm,d,50,10-fold,0.6892156862745099,0.1352470106280869,0.7012301587301588,0.17794183544125192,10-fold,100
41,svm,d,50,m-carlo,0.6442857142857142,0.0789158547915853,0.7128333333333334,0.08137182724386771,m-carlo,100
42,svm,d,100,5-fold,0.6312605042016808,0.10740929139893866,0.6551578947368422,0.127993884991667,5-fold,100
43,svm,d,100,10-fold,0.6137254901960785,0.14907279052017577,0.68375,0.1665676789376218,10-fold,100
44,svm,d,100,m-carlo,0.6228571428571428,0.08920221659665893,0.6863333333333334,0.06872183101809447,m-carlo,100
45,svm,d,20,5-fold,0.5803361344537816,0.04451243925895172,0.6363508771929824,0.07081130774824689,5-fold,100
46,svm,d,20,10-fold,0.6496732026143791,0.10285670474557189,0.6512103174603175,0.12572949455561083,10-fold,100
47,svm,d,20,m-carlo,0.6214285714285713,0.06611840435309814,0.6656666666666667,0.06677272265849336,m-carlo,100
48,svm,d,50,5-fold,0.6196638655462186,0.10255131112983458,0.6661754385964912,0.10674493608076129,5-fold,100
49,svm,d,50,10-fold,0.6892156862745099,0.1352470106280869,0.7012301587301588,0.17794183544125192,10-fold,100
50,svm,d,50,m-carlo,0.6442857142857142,0.0789158547915853,0.7128333333333334,0.08137182724386771,m-carlo,100
51,svm,d,100,5-fold,0.6078991596638655,0.14752818255977118,0.6709122807017543,0.1525909100890269,5-fold,100
