,model,feat_select,n_feat,test_val,acc,acc_sd,auc,auc_sd,sens,sens_sd,spec,spec_sd,htune_val,htune_trials
30,bag,auc,50,5-fold,0.7273015873015873,0.014565167932640594,0.7203070175438597,0.017509286108541904,0.7889473684210525,0.07222234060174498,0.6516666666666666,0.09653726971716384,5-fold,100
42,bag,pearson,100,5-fold,0.7269841269841271,0.07818165305412543,0.7265570175438597,0.07680137972403982,0.7489473684210527,0.14869701854475673,0.7041666666666666,0.16598820239201742,5-fold,100
31,bag,auc,50,10-fold,0.7218954248366012,0.09847940395174654,0.7183730158730159,0.10160543612940011,0.768888888888889,0.13259052346823375,0.6678571428571429,0.17601342455501162,5-fold,100
43,bag,pearson,100,10-fold,0.7212418300653595,0.10847452765587605,0.7149801587301587,0.11746408791138516,0.7888888888888889,0.10886621079036349,0.6410714285714285,0.218615321352733,5-fold,100
44,bag,pearson,100,m-carlo,0.713888888888889,0.0637902875030917,0.70875,0.060981554588252336,0.7550000000000001,0.10870045755968191,0.6625,0.08211833566647328,5-fold,100
34,bag,auc,100,10-fold,0.7107843137254901,0.08314979717489437,0.703373015873016,0.09151235895644777,0.788888888888889,0.11863420280034792,0.6178571428571428,0.2139878882706463,5-fold,100
32,bag,auc,50,m-carlo,0.7083333333333333,0.06833915726620025,0.7046875000000001,0.06510603067507002,0.7374999999999999,0.12125983411014982,0.671875,0.09264702043097145,5-fold,100
38,bag,pearson,10,m-carlo,0.7055555555555556,0.067079617721855,0.69875,0.06388594895346089,0.7599999999999999,0.12523661815266246,0.6375,0.10057401045472616,5-fold,100
35,bag,auc,100,m-carlo,0.7055555555555555,0.07877390516632206,0.6962499999999999,0.07796760460871588,0.78,0.11401754250991382,0.6125,0.11032249376976097,5-fold,100
41,bag,pearson,50,m-carlo,0.7,0.0788769449816778,0.6975,0.07741187689373336,0.72,0.1250263130199736,0.675,0.11577825902628651,5-fold,100
29,bag,auc,10,m-carlo,0.6944444444444444,0.06308610821751877,0.68625,0.059831176963537215,0.76,0.10954451150103321,0.6125,0.07748089747598573,5-fold,100
40,bag,pearson,50,10-fold,0.6872549019607843,0.0725697890412854,0.6812301587301587,0.07742408240434757,0.7588888888888888,0.13374935098492588,0.6035714285714285,0.17873008824606013,5-fold,100
39,bag,pearson,50,5-fold,0.6761904761904762,0.04259177099999601,0.6732675438596492,0.03929574293996825,0.7073684210526315,0.128535863260198,0.6391666666666667,0.14079388007533095,5-fold,100
21,bag,d,50,5-fold,0.6707936507936509,0.05240018886796917,0.6689473684210527,0.056283194866604096,0.6878947368421053,0.07030798885189998,0.65,0.10659665671221695,5-fold,100
33,bag,auc,100,5-fold,0.6650793650793652,0.06882375678945651,0.6512938596491228,0.07086177529028945,0.7784210526315789,0.13411245126567303,0.5241666666666667,0.1929845992703966,5-fold,100
27,bag,auc,10,5-fold,0.6650793650793652,0.06579168817797686,0.6585307017543859,0.07582973746712855,0.7278947368421053,0.10795248775358707,0.5891666666666666,0.20602049520483257,5-fold,100
28,bag,auc,10,10-fold,0.6584967320261439,0.09464281484323325,0.6515873015873016,0.08895131382272332,0.7388888888888889,0.1945237933334622,0.5642857142857143,0.1805838980022501,5-fold,100
23,bag,d,50,m-carlo,0.6555555555555556,0.08080974214134869,0.6499999999999999,0.08365617289332504,0.7,0.11121340320587074,0.6,0.1522852240819319,5-fold,100
22,bag,d,50,10-fold,0.6539215686274511,0.10830374117575939,0.6526190476190477,0.11181649676750526,0.6766666666666666,0.1315153842571138,0.6285714285714286,0.20181995074076992,5-fold,100
8,bag,pca,100,m-carlo,0.65,0.055847187772226047,0.645625,0.05373010647770265,0.685,0.1014370429587265,0.60625,0.08626954393368681,5-fold,100
19,bag,d,10,10-fold,0.6490196078431373,0.07631805480145046,0.6414285714285715,0.08366769655435732,0.7399999999999999,0.14298407059684812,0.5428571428571428,0.19583242871407794,5-fold,100
36,bag,pearson,10,5-fold,0.6363492063492062,0.06509001074369448,0.6299342105263158,0.057963849298375336,0.6973684210526316,0.16868811063723524,0.5625,0.16583123951777,5-fold,100
26,bag,d,100,m-carlo,0.6319444444444444,0.06235770025447249,0.6131249999999999,0.06008149618818199,0.7825,0.11728844336663531,0.44375,0.10319724343523706,5-fold,100
37,bag,pearson,10,10-fold,0.6316993464052288,0.06490491897005837,0.6219444444444445,0.07285005325674931,0.7188888888888887,0.10116604124524478,0.5249999999999999,0.1788093652906532,5-fold,100
20,bag,d,10,m-carlo,0.6277777777777778,0.07175965226579167,0.6162500000000001,0.07221814540900223,0.72,0.1018254440335596,0.5125,0.11398868826612392,5-fold,100
3,bag,pca,50,5-fold,0.6255555555555555,0.06908956944938897,0.6062938596491229,0.07716336839743114,0.7684210526315789,0.0411907259013119,0.44416666666666665,0.14975674720470303,5-fold,100
18,bag,d,10,5-fold,0.6196825396825397,0.06553845043762233,0.6031140350877193,0.07168086965222817,0.7478947368421054,0.09224425602758744,0.4583333333333333,0.17831678272108878,5-fold,100
5,bag,pca,50,m-carlo,0.6166666666666667,0.07073364731793479,0.596875,0.07332280376957485,0.775,0.09248043889897674,0.41875,0.12999873481165722,5-fold,100
