,model,feat_select,n_feat,test_val,acc,acc_sd,auc,auc_sd,sens,sens_sd,spec,spec_sd,htune_val,htune_trials
30,dtree,auc,50,5-fold,0.6761904761904762,0.013468700594029487,0.6674342105263158,0.012752339117595077,0.7373684210526316,0.04145885388064841,0.5974999999999999,0.052174919474995085,5-fold,100
39,dtree,pearson,50,5-fold,0.6703174603174602,0.027260489554542824,0.6649780701754386,0.025987489813528553,0.7057894736842105,0.10245261048954235,0.6241666666666666,0.10173836269787538,5-fold,100
36,dtree,pearson,10,5-fold,0.6701587301587302,0.04979676508620964,0.661688596491228,0.04584432315990209,0.7042105263157895,0.22512385018570927,0.6191666666666666,0.23287902200260308,5-fold,100
40,dtree,pearson,50,10-fold,0.6598039215686274,0.13559750784521324,0.6585317460317459,0.1341577991276223,0.6777777777777778,0.17356110390903678,0.6392857142857143,0.18167930430985382,5-fold,100
42,dtree,pearson,100,5-fold,0.659047619047619,0.06402947167227283,0.6492543859649123,0.06855979207139927,0.726842105263158,0.04781948976210469,0.5716666666666665,0.10918733900961226,5-fold,100
28,dtree,auc,10,10-fold,0.6470588235294118,0.15489108247717204,0.6490873015873015,0.15758760416237913,0.6588888888888889,0.19401539966879425,0.6392857142857143,0.24654644064007547,5-fold,100
27,dtree,auc,10,5-fold,0.6414285714285715,0.10405061562645797,0.639561403508772,0.10437589790023734,0.6657894736842105,0.1287458145515532,0.6133333333333334,0.15395255401872646,5-fold,100
38,dtree,pearson,10,m-carlo,0.6347222222222222,0.04619628573937907,0.6359375,0.05918425038319783,0.625,0.11754058649540682,0.646875,0.21002329914609597,5-fold,100
32,dtree,auc,50,m-carlo,0.6291666666666667,0.05352654451915555,0.6265625,0.056518911308749704,0.6499999999999999,0.08111071056538126,0.603125,0.11871536891148288,5-fold,100
33,dtree,auc,100,5-fold,0.6250793650793651,0.03585334479628618,0.6146710526315788,0.038599170062538594,0.7068421052631579,0.07502538813139144,0.5225,0.11820415484331429,5-fold,100
0,dtree,pca,10,5-fold,0.6246031746031745,0.045667690097827944,0.6194078947368421,0.04769081423006684,0.6563157894736842,0.07523278739465242,0.5825,0.10559027206876379,5-fold,100
21,dtree,d,50,5-fold,0.6193650793650793,0.07122015449045124,0.6080043859649122,0.07735899090200457,0.7068421052631579,0.07502538813139144,0.5091666666666667,0.15293426329272614,5-fold,100
31,dtree,auc,50,10-fold,0.6183006535947713,0.09928762164100204,0.6170833333333333,0.1040087805722671,0.6466666666666667,0.10680546525064814,0.5875,0.18775021098085617,5-fold,100
22,dtree,d,50,10-fold,0.615686274509804,0.12731777110265233,0.6105357142857143,0.1345144592199256,0.6799999999999999,0.17511900715418263,0.5410714285714285,0.23780488248040507,5-fold,100
37,dtree,pearson,10,10-fold,0.6147058823529411,0.14769450280491087,0.6278571428571429,0.1506839095244385,0.57,0.2584139659108574,0.6857142857142857,0.2889450276868306,5-fold,100
3,dtree,pca,50,5-fold,0.6139682539682539,0.047861815034246094,0.608421052631579,0.053046291928951196,0.656842105263158,0.05228835455587281,0.5599999999999999,0.1141697079886877,5-fold,100
44,dtree,pearson,100,m-carlo,0.6138888888888889,0.07534844334311107,0.610625,0.07761610572826398,0.64,0.11424811411549587,0.58125,0.14776292355982729,5-fold,100
41,dtree,pearson,50,m-carlo,0.6069444444444445,0.05790008983463669,0.604375,0.06312516284502184,0.6275,0.08187763655859305,0.58125,0.14208851022106647,5-fold,100
35,dtree,auc,100,m-carlo,0.6041666666666666,0.09617227543685888,0.603125,0.09538055702235514,0.6125,0.13752990105504523,0.59375,0.13526898154573744,5-fold,100
19,dtree,d,10,10-fold,0.6013071895424836,0.11973654833036901,0.6035714285714285,0.11265578782562503,0.6499999999999999,0.28382310609877337,0.5571428571428572,0.3033729509898505,5-fold,100
1,dtree,pca,10,10-fold,0.5980392156862745,0.12866948200639128,0.5932142857142857,0.13568765402858995,0.6399999999999999,0.14298407059684812,0.5464285714285714,0.19565142079231085,5-fold,100
6,dtree,pca,100,5-fold,0.5963492063492064,0.03982355895472691,0.591798245614035,0.03765919834605769,0.625263157894737,0.0964860445178659,0.5583333333333333,0.08457409637576849,5-fold,100
2,dtree,pca,10,m-carlo,0.5833333333333334,0.09146486736618158,0.570625,0.09014106269736633,0.6850000000000002,0.11596278894995858,0.45625,0.09954666982719318,5-fold,100
34,dtree,auc,100,10-fold,0.5800653594771242,0.07183350472793318,0.5708333333333334,0.08490579903042376,0.6666666666666666,0.14907119849998599,0.475,0.253546276418555,5-fold,100
16,dtree,kpca,100,10-fold,0.5794117647058823,0.0960466850362218,0.5640277777777778,0.0970323096545992,0.6655555555555556,0.1449137674618944,0.4625,0.16824297096435134,5-fold,100
5,dtree,pca,50,m-carlo,0.5736111111111112,0.06196571501690958,0.5653124999999999,0.0653141132387013,0.64,0.07880689256524123,0.490625,0.12380182327966105,5-fold,100
29,dtree,auc,10,m-carlo,0.5736111111111111,0.07922371495358023,0.5678124999999999,0.08119367987297897,0.6200000000000001,0.09651833749958713,0.515625,0.12804675081678896,5-fold,100
15,dtree,kpca,100,5-fold,0.5679365079365079,0.04918586363127058,0.5555043859649123,0.04523676853801994,0.6668421052631579,0.12966502763113003,0.44416666666666665,0.11864395850142935,5-fold,100
25,dtree,d,100,10-fold,0.5640522875816995,0.13182358253944088,0.5576587301587302,0.13214964947508187,0.6188888888888888,0.15982243233208285,0.49642857142857144,0.13698237965373836,5-fold,100
20,dtree,d,10,m-carlo,0.5638888888888888,0.059848737204967334,0.5675,0.05140301291599653,0.535,0.26112106488430953,0.6,0.2560132089519889,5-fold,100
7,dtree,pca,100,10-fold,0.5611111111111111,0.0838574798779131,0.5521031746031746,0.07870349250783099,0.6577777777777778,0.20499924721331222,0.44642857142857145,0.2319138064140257,5-fold,100
43,dtree,pearson,100,10-fold,0.5581699346405229,0.09633966235348754,0.5461904761904763,0.09675429994487651,0.6566666666666666,0.1066319387912007,0.43571428571428567,0.14992439515648728,5-fold,100
9,dtree,kpca,10,5-fold,0.5574603174603174,0.07897044744500885,0.513640350877193,0.07916733488564758,0.8689473684210526,0.09709064217412475,0.15833333333333335,0.15388487760516156,5-fold,100
4,dtree,pca,50,10-fold,0.5565359477124183,0.09968421430416298,0.5469246031746031,0.10046160232245083,0.6277777777777777,0.13076224773266468,0.4660714285714286,0.11677897898154782,5-fold,100
23,dtree,d,50,m-carlo,0.5555555555555556,0.06498862798506687,0.5499999999999999,0.06341436413737324,0.6,0.14327007988227577,0.5,0.1433848336691011,5-fold,100
12,dtree,kpca,50,5-fold,0.5395238095238095,0.09469487938323748,0.4980701754385965,0.1016331325346654,0.8294736842105263,0.10882780115719115,0.16666666666666666,0.1241638702145945,5-fold,100
14,dtree,kpca,50,m-carlo,0.538888888888889,0.0620475828224844,0.5000000000000001,0.06193826510494563,0.85,0.09318911162960933,0.15,0.09809031820886192,5-fold,100
24,dtree,d,100,5-fold,0.5280952380952381,0.05472048122741281,0.5294517543859649,0.049494380041982824,0.5247368421052632,0.11195195843409757,0.5341666666666667,0.06924694136847409,5-fold,100
8,dtree,pca,100,m-carlo,0.5277777777777778,0.10236006470300758,0.5221875,0.10308711425294628,0.5725,0.12510521887384907,0.471875,0.14118128277240988,5-fold,100
18,dtree,d,10,5-fold,0.523015873015873,0.0617774433505361,0.5325877192982456,0.06626828684821628,0.476842105263158,0.14252375026844374,0.5883333333333334,0.18100798018012604,5-fold,100
26,dtree,d,100,m-carlo,0.5194444444444445,0.09016806198543487,0.516875,0.09122926945483646,0.54,0.1153940616915975,0.49375,0.1358755719496024,5-fold,100
13,dtree,kpca,50,10-fold,0.5009803921568626,0.07987134318848507,0.460297619047619,0.07590215473704537,0.7866666666666667,0.11352924243950936,0.13392857142857142,0.131020004184852,5-fold,100
11,dtree,kpca,10,m-carlo,0.4958333333333334,0.05040044323577497,0.4559375,0.05195499539074787,0.8150000000000001,0.060914089632772755,0.096875,0.08476699876099995,5-fold,100
10,dtree,kpca,10,10-fold,0.495751633986928,0.08840391107844048,0.45765873015873015,0.08986356221269584,0.768888888888889,0.08043093809268383,0.1464285714285714,0.11809139778702137,5-fold,100
17,dtree,kpca,100,m-carlo,0.4819444444444444,0.051986996674763385,0.47624999999999995,0.05301749959360489,0.5275,0.09244486265649891,0.425,0.11032249376976096,5-fold,100
