,model,feat_select,n_feat,test_val,acc,acc_sd,auc,auc_sd,sens,sens_sd,spec,spec_sd,htune_val,htune_trials
30,rf,auc,50,5-fold,0.7161904761904762,0.05487565825100168,0.7098903508771931,0.05886944891227928,0.7789473684210526,0.1137530249818473,0.6408333333333334,0.16095418602819872,5-fold,100
31,rf,auc,50,10-fold,0.7049019607843137,0.07141600901757776,0.6996230158730158,0.07797899243723808,0.768888888888889,0.10446808243149476,0.6303571428571428,0.17375447595337565,5-fold,100
32,rf,auc,50,m-carlo,0.7000000000000001,0.06780221973246726,0.6959375,0.06361747706533083,0.7325,0.1216930997481607,0.659375,0.07976888903510401,5-fold,100
39,rf,pearson,50,5-fold,0.6992063492063492,0.106494215282507,0.6995175438596491,0.11118576766271807,0.7173684210526317,0.1560040307739788,0.6816666666666666,0.22885584982691617,5-fold,100
34,rf,auc,100,10-fold,0.6986928104575163,0.10233623590825044,0.697123015873016,0.10476011978397569,0.7388888888888889,0.14927809825049337,0.6553571428571427,0.19011312123631327,5-fold,100
35,rf,auc,100,m-carlo,0.6944444444444445,0.06804138174397717,0.6890624999999999,0.06437563872958549,0.7375,0.11795962734855737,0.640625,0.080793250597468,5-fold,100
33,rf,auc,100,5-fold,0.6934920634920635,0.08245645987585361,0.6876973684210528,0.08537902014786578,0.7478947368421053,0.09224425602758744,0.6275000000000001,0.15398638107168944,5-fold,100
38,rf,pearson,10,m-carlo,0.6833333333333332,0.05798769782820495,0.6815625,0.054049616277424606,0.6975,0.10696162617352174,0.665625,0.06808892695353781,5-fold,100
44,rf,pearson,100,m-carlo,0.6819444444444445,0.0756577181680003,0.6771874999999999,0.07235679481969161,0.72,0.12502631301997363,0.634375,0.09130585889427387,5-fold,100
40,rf,pearson,50,10-fold,0.6764705882352942,0.08986763053874874,0.6755158730158731,0.09711275015870083,0.7188888888888888,0.1461016050984577,0.6321428571428571,0.22559445281933937,5-fold,100
42,rf,pearson,100,5-fold,0.676031746031746,0.059794095337571594,0.6675438596491228,0.05833400317845195,0.758421052631579,0.17722077252982077,0.5766666666666667,0.21324623873197232,5-fold,100
41,rf,pearson,50,m-carlo,0.6749999999999999,0.05707000136000233,0.6693749999999999,0.05727860696446338,0.7200000000000001,0.09375219295680783,0.61875,0.10319724343523706,5-fold,100
37,rf,pearson,10,10-fold,0.6702614379084968,0.10236695906849784,0.6708730158730158,0.10462548236250478,0.6988888888888889,0.1685449714687668,0.6428571428571428,0.21329134365677282,5-fold,100
43,rf,pearson,100,10-fold,0.665686274509804,0.10665428199992866,0.6587301587301587,0.11074770503182482,0.7388888888888889,0.14927809825049337,0.5785714285714286,0.21282571409606232,5-fold,100
29,rf,auc,10,m-carlo,0.6611111111111111,0.05742469713856129,0.6559375,0.054654830467407475,0.7024999999999999,0.09930680795022646,0.609375,0.07275985644932456,5-fold,100
36,rf,pearson,10,5-fold,0.658888888888889,0.07097829859367022,0.6595175438596492,0.07311641615167472,0.6773684210526316,0.1468812436051373,0.6416666666666666,0.19346977943739835,5-fold,100
