,model,feat_select,n_feat,test_val,acc,acc_sd,auc,auc_sd,htune_val,htune_trials
31,rf,auc,50,10-fold,0.7277777777777779,0.10348067869258804,0.7758234126984126,0.1256367983658272,10-fold,100
43,rf,pearson,100,10-fold,0.7156862745098039,0.06534131919158527,0.7645535714285714,0.10815989681706643,10-fold,100
44,rf,pearson,100,m-carlo,0.6986111111111112,0.08979572152913676,0.7604687499999998,0.07893348116618928,m-carlo,100
32,rf,auc,50,m-carlo,0.6958333333333335,0.07180208430986572,0.777421875,0.05935221818824576,m-carlo,100
40,rf,pearson,50,10-fold,0.6879084967320261,0.10267715216361777,0.7727876984126985,0.11009209326197421,10-fold,100
42,rf,pearson,100,5-fold,0.6876190476190476,0.06913787204907254,0.7480657894736843,0.07282056125349652,5-fold,100
39,rf,pearson,50,5-fold,0.682063492063492,0.08281319152984039,0.7528530701754386,0.11014584103419375,5-fold,100
35,rf,auc,100,m-carlo,0.6805555555555555,0.0772643874954609,0.7442187500000002,0.06870905628895237,m-carlo,100
30,rf,auc,50,5-fold,0.6763492063492064,0.07579344303137821,0.7646041666666668,0.08102654903983976,5-fold,100
41,rf,pearson,50,m-carlo,0.673611111111111,0.05619153520753687,0.7474999999999999,0.062257754220067386,m-carlo,100
27,rf,auc,10,5-fold,0.6706349206349207,0.08606263722327565,0.7236326754385966,0.08752282921886195,5-fold,100
36,rf,pearson,10,5-fold,0.6646031746031745,0.08962914550446144,0.7146326754385965,0.07197626398397616,5-fold,100
33,rf,auc,100,5-fold,0.6644444444444444,0.11236032453497294,0.7150592105263158,0.0973877403486784,5-fold,100
34,rf,auc,100,10-fold,0.6643790849673203,0.10869309212256693,0.7393849206349207,0.11445515231261767,10-fold,100
22,rf,d,50,10-fold,0.6601307189542485,0.08799963149725797,0.7328968253968253,0.1147965188528848,10-fold,100
37,rf,pearson,10,10-fold,0.6591503267973856,0.09150391637907,0.7112996031746033,0.10616498291903285,10-fold,100
29,rf,auc,10,m-carlo,0.6513888888888888,0.06402857853642942,0.7134375,0.06821035213336678,m-carlo,100
38,rf,pearson,10,m-carlo,0.6472222222222221,0.05414885747116088,0.7125000000000001,0.04204868731914418,m-carlo,100
4,rf,pca,50,10-fold,0.6336601307189543,0.1424930706519047,0.6568154761904762,0.10535186012672844,10-fold,100
28,rf,auc,10,10-fold,0.6310457516339869,0.08612487298376574,0.7258928571428572,0.12319631223866384,10-fold,100
25,rf,d,100,10-fold,0.6310457516339869,0.14980847461019006,0.6555357142857143,0.14659168711910747,10-fold,100
19,rf,d,10,10-fold,0.6310457516339869,0.09945062472875106,0.6816666666666666,0.12718201346992644,10-fold,100
5,rf,pca,50,m-carlo,0.6305555555555554,0.06628791043263971,0.6592968749999998,0.07819647224121044,m-carlo,100
1,rf,pca,10,10-fold,0.6261437908496733,0.08316335348976464,0.6441369047619048,0.11637890440534988,10-fold,100
6,rf,pca,100,5-fold,0.6249206349206349,0.08457428256779298,0.5993344298245614,0.07467416891216126,5-fold,100
24,rf,d,100,5-fold,0.6193650793650793,0.04250887299370286,0.6594561403508772,0.09296616043897461,5-fold,100
26,rf,d,100,m-carlo,0.613888888888889,0.07316079294561703,0.663828125,0.07663593249422797,m-carlo,100
3,rf,pca,50,5-fold,0.6134920634920634,0.05667244646172129,0.6324923245614035,0.05507734645093578,5-fold,100
23,rf,d,50,m-carlo,0.6027777777777777,0.0715896725902029,0.6800000000000002,0.09554019932729885,m-carlo,100
21,rf,d,50,5-fold,0.6022222222222222,0.0536827180307364,0.6879638157894736,0.06597465618029602,5-fold,100
20,rf,d,10,m-carlo,0.5972222222222223,0.05944020862647988,0.6578125,0.0856266807364817,m-carlo,100
15,rf,kpca,100,5-fold,0.5907936507936508,0.07232593286210626,0.5957182017543861,0.050043384256414004,5-fold,100
18,rf,d,10,5-fold,0.5906349206349206,0.061137903836019226,0.6108881578947368,0.10387607030437299,5-fold,100
8,rf,pca,100,m-carlo,0.5819444444444444,0.058040199149804156,0.597421875,0.050887161819811254,m-carlo,100
9,rf,kpca,10,5-fold,0.5798412698412698,0.07409400714419354,0.5731776315789473,0.09096068680550383,5-fold,100
14,rf,kpca,50,m-carlo,0.5777777777777778,0.04378160698068958,0.5815624999999999,0.06329794898252812,m-carlo,100
2,rf,pca,10,m-carlo,0.5763888888888888,0.06364688465216443,0.599453125,0.06500979453976123,m-carlo,100
12,rf,kpca,50,5-fold,0.5736507936507936,0.03161879262981269,0.5482214912280702,0.07353393768942991,5-fold,100
7,rf,pca,100,10-fold,0.5656862745098039,0.12056072843231669,0.5862202380952382,0.14993450754360438,10-fold,100
10,rf,kpca,10,10-fold,0.5630718954248366,0.12064534489105065,0.545654761904762,0.1525123441468197,10-fold,100
17,rf,kpca,100,m-carlo,0.5611111111111111,0.07354832917984065,0.554375,0.09552809417294887,m-carlo,100
13,rf,kpca,50,10-fold,0.5516339869281046,0.0846707297707442,0.5118253968253968,0.15314377157012657,10-fold,100
16,rf,kpca,100,10-fold,0.5392156862745099,0.09279102152090132,0.5322420634920635,0.12875845267221375,10-fold,100
0,rf,pca,10,5-fold,0.5342857142857143,0.05678459118386226,0.5941151315789474,0.08079628029686013,5-fold,100
11,rf,kpca,10,m-carlo,0.5069444444444445,0.0714619225026257,0.4679687500000001,0.07326056512859103,m-carlo,100
