,model,feat_select,n_feat,test_val,acc,acc_sd,auc,auc_sd,htune_val,htune_trials
85,svm,pearson,50,10-fold,0.7366013071895424,0.0719152280114257,0.7545634920634919,0.08628831156958547,10-fold,100
76,svm,pearson,50,10-fold,0.7366013071895424,0.0719152280114257,0.753313492063492,0.08725172186989653,10-fold,100
78,svm,pearson,100,5-fold,0.729747899159664,0.0443136900777869,0.780140350877193,0.06586655133989405,5-fold,100
57,svm,auc,50,5-fold,0.7295798319327732,0.06114391044130887,0.7444561403508773,0.06894475688103514,5-fold,100
69,svm,auc,100,5-fold,0.7236974789915966,0.055316845473345234,0.7616842105263159,0.04378143904021579,5-fold,100
60,svm,auc,100,5-fold,0.7236974789915966,0.055316845473345234,0.7616842105263159,0.04378143904021579,5-fold,100
88,svm,pearson,100,10-fold,0.7189542483660131,0.07623715994301825,0.7845039682539682,0.0781645559976573,10-fold,100
70,svm,auc,100,10-fold,0.7183006535947712,0.0789561240020182,0.7744642857142857,0.08834043258598215,10-fold,100
61,svm,auc,100,10-fold,0.7183006535947712,0.0789561240020182,0.7744642857142857,0.08834043258598215,10-fold,100
66,svm,auc,50,5-fold,0.7181512605042017,0.03953868581543374,0.7498596491228071,0.056662375591154966,5-fold,100
87,svm,pearson,100,5-fold,0.7181512605042016,0.03953868581543374,0.7781052631578947,0.06761688920495838,5-fold,100
83,svm,pearson,20,m-carlo,0.7157142857142855,0.061819876252646996,0.7363333333333333,0.07422819249721435,m-carlo,100
82,svm,pearson,20,10-fold,0.7140522875816993,0.08339205073911762,0.7556746031746032,0.09713058525556555,10-fold,100
75,svm,pearson,50,5-fold,0.7122689075630253,0.06310247364911269,0.752,0.07570410234003909,5-fold,100
54,svm,auc,20,5-fold,0.7122689075630252,0.08979729858797636,0.7420350877192983,0.09878327191742031,5-fold,100
72,svm,pearson,20,5-fold,0.7121008403361344,0.06454087877882381,0.7382456140350877,0.09175296030558584,5-fold,100
73,svm,pearson,20,10-fold,0.7078431372549019,0.08395859523397162,0.7421428571428572,0.10207665187075278,10-fold,100
67,svm,auc,50,10-fold,0.7078431372549019,0.07479464975805467,0.7280357142857142,0.10144942357755263,10-fold,100
79,svm,pearson,100,10-fold,0.7075163398692811,0.0655815037873388,0.787361111111111,0.08486705122260317,10-fold,100
74,svm,pearson,20,m-carlo,0.707142857142857,0.059265101951694904,0.7356666666666666,0.07406414163428478,m-carlo,100
84,svm,pearson,50,5-fold,0.7063865546218489,0.07151156819203118,0.7561052631578947,0.07244959827736061,5-fold,100
63,svm,auc,20,5-fold,0.7063865546218487,0.09589336284824276,0.7380350877192983,0.09731185333254672,5-fold,100
64,svm,auc,20,10-fold,0.7019607843137254,0.10122868089687777,0.7421626984126984,0.12197048454142231,10-fold,100
58,svm,auc,50,10-fold,0.7016339869281045,0.10726446272027225,0.7360714285714286,0.10885796566784813,10-fold,100
77,svm,pearson,50,m-carlo,0.6957142857142855,0.06507039895853557,0.7386666666666667,0.07706911912567196,m-carlo,100
56,svm,auc,20,m-carlo,0.6928571428571427,0.07408590827216253,0.7349999999999999,0.09999122768540791,m-carlo,100
59,svm,auc,50,m-carlo,0.6914285714285713,0.07156378180152143,0.7421666666666666,0.07834751644649202,m-carlo,100
86,svm,pearson,50,m-carlo,0.6914285714285713,0.06395487130711607,0.7391666666666667,0.07756434793238089,m-carlo,100
65,svm,auc,20,m-carlo,0.6899999999999998,0.07546490353055836,0.7416666666666668,0.0978272734905583,m-carlo,100
49,svm,d,50,10-fold,0.6895424836601307,0.13561982132885328,0.7102579365079364,0.18625308702827886,10-fold,100
81,svm,pearson,20,5-fold,0.6892436974789916,0.05820321184502659,0.7362456140350877,0.08519161679878857,5-fold,100
40,svm,d,50,10-fold,0.6892156862745099,0.1352470106280869,0.7012301587301588,0.17794183544125192,10-fold,100
89,svm,pearson,100,m-carlo,0.6885714285714286,0.07694488660496496,0.7715,0.061677097268640804,m-carlo,100
80,svm,pearson,100,m-carlo,0.6885714285714286,0.07053577376984266,0.7721666666666668,0.05905963880411489,m-carlo,100
55,svm,auc,20,10-fold,0.6852941176470588,0.08893920251477194,0.7475595238095238,0.11506857160658485,10-fold,100
68,svm,auc,50,m-carlo,0.6814285714285713,0.06765998266748956,0.7398333333333332,0.0814020058088718,m-carlo,100
71,svm,auc,100,m-carlo,0.6642857142857141,0.054742832027871884,0.7588333333333332,0.05924747385243303,m-carlo,100
