,model,feat_select,n_feat,test_val,acc,acc_sd,auc,auc_sd,sens,sens_sd,spec,spec_sd,htune_val,htune_trials
42,svm,pearson,100,5-fold,0.7276190476190476,0.07240601069999322,0.7264035087719298,0.06669170272336883,0.7594736842105263,0.19429715654520333,0.6933333333333334,0.19566925750698125,5-fold,100
34,svm,auc,100,10-fold,0.7264705882352942,0.1001947733177086,0.7212301587301588,0.10049206537245552,0.788888888888889,0.1784708711578779,0.6535714285714286,0.20485186285285695,5-fold,100
43,svm,pearson,100,10-fold,0.7163398692810458,0.06338334307962762,0.7151587301587302,0.06478884049244714,0.7588888888888888,0.1636391694484477,0.6714285714285715,0.19328289278668956,5-fold,100
40,svm,pearson,50,10-fold,0.7160130718954248,0.07398511254126788,0.7130158730158731,0.07999393716003304,0.768888888888889,0.1407212462132228,0.6571428571428571,0.20701966780270625,5-fold,100
31,svm,auc,50,10-fold,0.7156862745098039,0.08423797354763049,0.7108730158730159,0.08684186315522657,0.7788888888888889,0.1540001603334102,0.6428571428571428,0.19633836312465047,5-fold,100
32,svm,auc,50,m-carlo,0.7152777777777778,0.05245360585061474,0.7071875000000001,0.0506241877777599,0.78,0.1043778560907689,0.634375,0.09570333478763259,5-fold,100
30,svm,auc,50,5-fold,0.710793650793651,0.06993500203726406,0.7076535087719298,0.0805640689985566,0.7594736842105263,0.14230736116431658,0.6558333333333334,0.23528941988774404,5-fold,100
39,svm,pearson,50,5-fold,0.7106349206349206,0.07125994204238525,0.7054605263157895,0.08114681102780033,0.7684210526315789,0.12921561786516753,0.6425,0.23166067138525406,5-fold,100
33,svm,auc,100,5-fold,0.7104761904761905,0.09865306028631286,0.7065570175438597,0.09812066184712236,0.7589473684210526,0.15455458295881558,0.6541666666666667,0.18380620833427314,5-fold,100
35,svm,auc,100,m-carlo,0.7069444444444444,0.0652847762827981,0.6993750000000001,0.0619349457091875,0.7675000000000001,0.12060701733970103,0.63125,0.09270248108869579,5-fold,100
36,svm,pearson,10,5-fold,0.7047619047619047,0.04096345365258396,0.7046271929824562,0.052883420678617135,0.7284210526315789,0.12364781099330022,0.6808333333333334,0.2023215949368178,5-fold,100
37,svm,pearson,10,10-fold,0.6879084967320261,0.0801708877272926,0.690515873015873,0.07868868515279587,0.698888888888889,0.1685449714687668,0.6821428571428572,0.18284567176321037,5-fold,100
27,svm,auc,10,5-fold,0.6876190476190477,0.06913787204907254,0.6793640350877193,0.06612798511026172,0.7578947368421052,0.13806387778499654,0.6008333333333333,0.14216822976866372,5-fold,100
44,svm,pearson,100,m-carlo,0.6875,0.07953068561577925,0.68,0.07699111363623316,0.7474999999999999,0.13905224311671305,0.6125,0.1209882551933734,5-fold,100
22,svm,d,50,10-fold,0.6820261437908497,0.12246111589551616,0.676607142857143,0.12095041829116285,0.73,0.17029386365926402,0.6232142857142857,0.16070326240855484,5-fold,100
38,svm,pearson,10,m-carlo,0.6819444444444445,0.0671250082431572,0.6790624999999999,0.06377885698790949,0.705,0.12236700621706129,0.653125,0.09396904235466398,5-fold,100
41,svm,pearson,50,m-carlo,0.6736111111111113,0.05901165070372482,0.668125,0.06001301942078902,0.7175,0.10915344100948228,0.61875,0.128086884574495,5-fold,100
8,svm,pca,100,m-carlo,0.6625,0.06760727763786704,0.6425000000000001,0.07023222757020942,0.8225000000000001,0.08807144229185997,0.4625,0.12565617248750865,5-fold,100
5,svm,pca,50,m-carlo,0.6555555555555554,0.05050106310681763,0.6412500000000001,0.052110080851173024,0.77,0.09090191359227176,0.5125,0.11398868826612392,5-fold,100
29,svm,auc,10,m-carlo,0.6541666666666667,0.057336228903715696,0.6440625000000001,0.05639509794626145,0.7350000000000001,0.09333020044867295,0.553125,0.08902570223196633,5-fold,100
7,svm,pca,100,10-fold,0.6470588235294119,0.12311777966061818,0.6223015873015874,0.1299495027609788,0.8088888888888889,0.1188421507299639,0.4357142857142858,0.1706995078946183,5-fold,100
23,svm,d,50,m-carlo,0.6444444444444445,0.07409843653948334,0.6365624999999999,0.07429147233594247,0.7075000000000001,0.11951106533221979,0.565625,0.13059044808705939,5-fold,100
24,svm,d,100,5-fold,0.6422222222222222,0.11800389025533992,0.6347807017543861,0.12202073928963791,0.6978947368421051,0.10366216703960157,0.5716666666666667,0.15176622190431935,5-fold,100
28,svm,auc,10,10-fold,0.6408496732026144,0.09718155475163198,0.6319444444444444,0.08954899454368165,0.7388888888888889,0.1945237933334622,0.525,0.1656431155326294,5-fold,100
0,svm,pca,10,5-fold,0.6371428571428572,0.1086090160499898,0.628530701754386,0.10883912442401524,0.6978947368421053,0.1565114848033404,0.5591666666666667,0.1849455625612875,5-fold,100
21,svm,d,50,5-fold,0.6363492063492064,0.09557546067002623,0.6240570175438597,0.09533679426012213,0.7289473684210526,0.13344726203692736,0.5191666666666667,0.1189362574378954,5-fold,100
26,svm,d,100,m-carlo,0.6319444444444444,0.06796673401799899,0.62125,0.06668242686519124,0.7175000000000001,0.12383669212228447,0.525,0.12064792187448393,5-fold,100
4,svm,pca,50,10-fold,0.6238562091503268,0.10284112900576449,0.6079563492063491,0.10154235814479812,0.7355555555555556,0.1407212462132228,0.4803571428571428,0.1463971123775044,5-fold,100
25,svm,d,100,10-fold,0.619607843137255,0.1073656381593101,0.6114087301587302,0.10382436198623778,0.6888888888888889,0.1777777777777778,0.5339285714285714,0.15417700829443187,5-fold,100
20,svm,d,10,m-carlo,0.6180555555555556,0.07202796637571354,0.6012500000000001,0.0705243518972441,0.7525000000000001,0.12190915513308735,0.45,0.11398868826612392,5-fold,100
18,svm,d,10,5-fold,0.6142857142857143,0.07142857142857144,0.5928070175438597,0.07563685983966448,0.7789473684210526,0.1242567933455583,0.4066666666666666,0.18509100614442495,5-fold,100
3,svm,pca,50,5-fold,0.6138095238095238,0.0758250163638358,0.5995175438596491,0.08264669796872644,0.7073684210526315,0.06341504666910151,0.4916666666666667,0.15,5-fold,100
