,model,feat_select,n_feat,test_val,acc,acc_sd,auc,auc_sd,htune_val,htune_trials
34,svm,auc,100,10-fold,0.7264705882352942,0.1001947733177086,0.7553571428571428,0.08694552207862008,10-fold,100
42,svm,pearson,100,5-fold,0.721904761904762,0.052337644434415596,0.7643991228070176,0.08398220887399971,5-fold,100
33,svm,auc,100,5-fold,0.7161904761904763,0.0955708472708732,0.7451513157894736,0.07646411607197329,5-fold,100
40,svm,pearson,50,10-fold,0.7160130718954248,0.0739851125412679,0.747361111111111,0.07953426906628545,10-fold,100
31,svm,auc,50,10-fold,0.7156862745098039,0.08423797354763049,0.7566269841269841,0.1065329495384624,10-fold,100
32,svm,auc,50,m-carlo,0.7138888888888889,0.051060870298434285,0.78390625,0.06717908454028718,m-carlo,100
30,svm,auc,50,5-fold,0.710793650793651,0.06993500203726406,0.769997807017544,0.07961079843376923,5-fold,100
39,svm,pearson,50,5-fold,0.7106349206349206,0.07677438290534383,0.7403706140350877,0.06703415439674289,5-fold,100
35,svm,auc,100,m-carlo,0.7069444444444443,0.06010265746785124,0.7837500000000002,0.06553957472598643,m-carlo,100
36,svm,pearson,10,5-fold,0.7047619047619047,0.04096345365258396,0.7177236842105263,0.06802672299582901,5-fold,100
43,svm,pearson,100,10-fold,0.6993464052287581,0.056012898179444166,0.7760119047619047,0.07967501486160689,10-fold,100
29,svm,auc,10,m-carlo,0.6958333333333333,0.0652847762827981,0.74875,0.06349860131074583,m-carlo,100
44,svm,pearson,100,m-carlo,0.6944444444444444,0.06498862798506685,0.78984375,0.07076063332544744,m-carlo,100
37,svm,pearson,10,10-fold,0.6934640522875817,0.08045973153490554,0.7352777777777778,0.13036671584283802,10-fold,100
27,svm,auc,10,5-fold,0.6876190476190477,0.08502367284063106,0.7206535087719298,0.08878086599499109,5-fold,100
38,svm,pearson,10,m-carlo,0.6861111111111112,0.0668977476599572,0.73453125,0.0637899368584724,m-carlo,100
28,svm,auc,10,10-fold,0.681045751633987,0.09895721266601841,0.7263888888888889,0.15694331567029315,10-fold,100
22,svm,d,50,10-fold,0.6758169934640523,0.09934736077207398,0.7142063492063493,0.12399247522662168,10-fold,100
41,svm,pearson,50,m-carlo,0.6722222222222223,0.0595084914848664,0.745625,0.06511313534715435,m-carlo,100
5,svm,pca,50,m-carlo,0.6555555555555556,0.05129891760425769,0.7142187499999999,0.07370367495791937,m-carlo,100
7,svm,pca,100,10-fold,0.6473856209150327,0.11089142706453366,0.6425992063492065,0.13509076866512246,10-fold,100
8,svm,pca,100,m-carlo,0.6444444444444445,0.06839855680567693,0.70375,0.06602400629994166,m-carlo,100
24,svm,d,100,5-fold,0.6422222222222222,0.11800389025533992,0.6658092105263158,0.14971596275319593,5-fold,100
21,svm,d,50,5-fold,0.6420634920634921,0.09584791535186912,0.6829166666666666,0.1065135619951229,5-fold,100
23,svm,d,50,m-carlo,0.6416666666666667,0.07534844334311105,0.7240625,0.06739163450544725,m-carlo,100
0,svm,pca,10,5-fold,0.6371428571428572,0.1086090160499898,0.6134758771929825,0.1463154349049356,5-fold,100
4,svm,pca,50,10-fold,0.6356209150326797,0.10861882954932364,0.6798015873015874,0.12019951971695413,10-fold,100
26,svm,d,100,m-carlo,0.6333333333333334,0.0707336473179348,0.7068749999999999,0.0719186080525098,m-carlo,100
25,svm,d,100,10-fold,0.619607843137255,0.1073656381593101,0.7183730158730158,0.15793222056875147,10-fold,100
20,svm,d,10,m-carlo,0.6166666666666667,0.07464448988401944,0.65375,0.08604643215637768,m-carlo,100
3,svm,pca,50,5-fold,0.6138095238095238,0.08351001677939202,0.6603793859649123,0.06030000537383081,5-fold,100
18,svm,d,10,5-fold,0.6087301587301587,0.09206691290853046,0.6198750000000001,0.062139865201191254,5-fold,100
6,svm,pca,100,5-fold,0.6022222222222222,0.1125955264764746,0.6592916666666667,0.08678872614637866,5-fold,100
19,svm,d,10,10-fold,0.6019607843137255,0.08999693844736474,0.635079365079365,0.0971048043791331,10-fold,100
2,svm,pca,10,m-carlo,0.5944444444444443,0.07561744970874672,0.62296875,0.09400335830892033,m-carlo,100
1,svm,pca,10,10-fold,0.5797385620915033,0.12414669040517089,0.6154960317460317,0.1326020579629672,10-fold,100
16,svm,kpca,100,10-fold,0.5741830065359477,0.03465524960662509,0.46656746031746027,0.11936012224277007,10-fold,100
15,svm,kpca,100,5-fold,0.5738095238095238,0.020892772350933637,0.45125219298245617,0.10973007329822652,5-fold,100
17,svm,kpca,100,m-carlo,0.5652777777777779,0.01359334680359981,0.47109375,0.07381099033618159,m-carlo,100
10,svm,kpca,10,10-fold,0.5627450980392157,0.019351998249413905,0.4590674603174604,0.11374299321681704,10-fold,100
13,svm,kpca,50,10-fold,0.5627450980392157,0.019351998249413905,0.4859126984126984,0.10191886924553883,10-fold,100
12,svm,kpca,50,5-fold,0.5625396825396825,0.012973216978858757,0.4889429824561404,0.08260052681342496,5-fold,100
9,svm,kpca,10,5-fold,0.5625396825396825,0.012973216978858757,0.4623092105263158,0.07506061259447498,5-fold,100
11,svm,kpca,10,m-carlo,0.5555555555555556,0.0,0.4571875,0.10448834650773767,m-carlo,100
14,svm,kpca,50,m-carlo,0.5555555555555556,0.0,0.4833593749999999,0.1321323285620652,m-carlo,100
