,model,feat_select,n_feat,test_val,acc,acc_sd,auc,auc_sd,sens,sens_sd,spec,spec_sd,htune_val,htune_trials
213,svm,step-up,50,5-fold,0.8412698413,0.040840255000000006,0.83125,0.0415623695,0.92,0.0758287544,0.7425,0.0943913249,5-fold,100
159,rf,step-up,50,5-fold,0.8411111111,0.058354655400000004,0.8422368421,0.052633315,0.8394736842,0.11338716060000001,0.845,0.07110243000000001,5-fold,100
214,svm,step-up,10,5-fold,0.8298412698000001,0.0518053998,0.8175,0.0550528471,0.93,0.0836660027,0.705,0.1383621958,5-fold,100
0,bag,step-up,100,5-fold,0.8295238095,0.053494654,0.8267105263000001,0.0625000769,0.8484210526,0.0355311887,0.805,0.1324973794,5-fold,100
215,svm,step-up,100,5-fold,0.8246031746,0.0727609421,0.8120833333,0.0769480795,0.92,0.06708203930000001,0.7041666667,0.1323531681,5-fold,100
1,bag,step-up,50,5-fold,0.7898412698,0.0654230183,0.7828070175,0.07191442020000001,0.8489473684000001,0.069813761,0.7166666667,0.17252717180000002,5-fold,100
2,bag,step-up,100,10-fold,0.7892156863,0.0887682605,0.7867857143,0.0840749315,0.8200000000000001,0.1619327707,0.7535714286,0.1284390853,5-fold,100
160,rf,step-up,10,5-fold,0.7844444444,0.0637731872,0.7748903509,0.0700799446,0.8489473684000001,0.0335255309,0.7008333333,0.1242477364,5-fold,100
161,rf,step-up,50,m-carlo,0.7833333333,0.057424697100000005,0.7778125,0.0568670469,0.8275,0.08955298340000001,0.728125,0.0890257022,5-fold,100
216,svm,step-up,50,10-fold,0.7787581699,0.0488146283,0.7678373016000001,0.0479075668,0.8588888889,0.1070940512,0.6767857143,0.12095202940000001,5-fold,100
3,bag,step-up,100,m-carlo,0.7763888889,0.0772512462,0.7728125,0.0801487874,0.805,0.0825577947,0.740625,0.12707973820000001,5-fold,100
217,svm,step-up,10,m-carlo,0.775,0.0583368142,0.7640625,0.056190575300000004,0.8625,0.10622097130000001,0.665625,0.09130585890000001,5-fold,100
218,svm,step-up,10,10-fold,0.7735294118,0.0499440785,0.7599801587,0.0554267569,0.8788888889,0.0629520688,0.6410714286,0.1337498808,5-fold,100
162,rf,step-up,50,10-fold,0.7732026144,0.09509248640000001,0.7716071429,0.1018725263,0.8200000000000001,0.1398411798,0.7232142857,0.2176081716,5-fold,100
163,rf,step-up,100,10-fold,0.7617647059,0.1035311218,0.7530357143,0.1026334442,0.84,0.1505545305,0.6660714286,0.1559137538,5-fold,100
4,bag,step-up,50,10-fold,0.7617647059,0.098804205,0.7519444444000001,0.1033294778,0.8288888889,0.1051747517,0.675,0.1797185378,5-fold,100
164,rf,step-up,100,5-fold,0.7614285714,0.0741619849,0.7570175439,0.07204427170000001,0.7973684211000001,0.0954650376,0.7166666667,0.0984691858,5-fold,100
108,mlp,step-up,50,10-fold,0.7549019608,0.0977604364,0.7504960317,0.0965812406,0.7777777778,0.139664501,0.7232142857,0.1271777418,5-fold,100
54,dtree,step-up,100,5-fold,0.7503174603,0.0721820925,0.7457675439,0.0755660516,0.7873684211,0.045252446700000004,0.7041666667,0.1166666667,5-fold,100
55,dtree,step-up,10,5-fold,0.75,0.0371153744,0.7407236842,0.038505237500000004,0.8189473684,0.0551816441,0.6625,0.0523741879,5-fold,100
109,mlp,step-up,50,5-fold,0.7441269841,0.0814209904,0.7405701754,0.0874253229,0.7894736842000001,0.1286112698,0.6916666667,0.21935432400000002,5-fold,100
165,rf,step-up,10,10-fold,0.7437908497,0.0949801119,0.7356944444,0.09521703220000001,0.8088888889,0.11884215070000001,0.6625,0.16824297100000002,5-fold,100
5,bag,step-up,10,5-fold,0.7392063492000001,0.0991390248,0.7266008772,0.09855972900000001,0.8273684211000001,0.0938666172,0.6258333333,0.11457954540000001,5-fold,100
219,svm,pearson,100,5-fold,0.7276190476000001,0.07240601070000001,0.7264035088,0.06669170270000001,0.7594736842,0.1942971565,0.6933333333,0.1956692575,5-fold,100
6,bag,auc,50,5-fold,0.7273015873,0.0145651679,0.7203070175,0.0175092861,0.7889473684,0.0722223406,0.6516666667000001,0.0965372697,5-fold,100
7,bag,pearson,100,5-fold,0.726984127,0.0781816531,0.7265570175,0.0768013797,0.7489473684,0.1486970185,0.7041666667,0.1659882024,5-fold,100
220,svm,auc,100,10-fold,0.7264705882,0.1001947733,0.7212301587000001,0.1004920654,0.7888888889,0.17847087120000002,0.6535714286000001,0.20485186290000001,5-fold,100
8,bag,auc,50,10-fold,0.7218954248,0.098479404,0.7183730159,0.1016054361,0.7688888889000001,0.1325905235,0.6678571429,0.1760134246,5-fold,100
9,bag,pearson,100,10-fold,0.7212418301,0.1084745277,0.7149801587,0.1174640879,0.7888888889,0.1088662108,0.6410714286,0.2186153214,5-fold,100
10,bag,step-up,50,m-carlo,0.7208333333,0.0718020843,0.715,0.0718184846,0.7675000000000001,0.11951106530000001,0.6625,0.1288869354,5-fold,100
166,rf,step-up,100,m-carlo,0.7180555556,0.0651602463,0.7103125,0.0659967541,0.78,0.09090191360000001,0.640625,0.1070596089,5-fold,100
167,rf,step-up,10,m-carlo,0.7180555556,0.0837101616,0.7068749999999999,0.08617177990000001,0.8075,0.0907207978,0.6062500000000001,0.12999873480000002,5-fold,100
11,bag,step-up,10,10-fold,0.7176470588,0.0907113778,0.7042857143,0.09415003470000001,0.8300000000000001,0.12516655570000002,0.5785714286,0.1702838766,5-fold,100
110,mlp,step-up,50,m-carlo,0.7166666667,0.0498535868,0.709375,0.0507144677,0.775,0.0966545667,0.64375,0.11308328320000001,5-fold,100
12,bag,step-up,10,m-carlo,0.7166666667,0.06536248700000001,0.70625,0.0658634453,0.8,0.1088214375,0.6125,0.1226757601,5-fold,100
221,svm,step-up,100,10-fold,0.7163398693,0.1086794447,0.7083928571,0.10682840760000001,0.79,0.1728840331,0.6267857143000001,0.1673984784,5-fold,100
222,svm,pearson,100,10-fold,0.7163398693,0.0633833431,0.7151587302,0.0647888405,0.7588888889000001,0.1636391694,0.6714285714,0.1932828928,5-fold,100
168,rf,auc,50,5-fold,0.7161904762,0.054875658300000005,0.7098903509000001,0.0588694489,0.7789473684,0.11375302500000001,0.6408333333,0.160954186,5-fold,100
223,svm,pearson,50,10-fold,0.7160130719000001,0.0739851125,0.713015873,0.0799939372,0.7688888889000001,0.1407212462,0.6571428571,0.2070196678,5-fold,100
224,svm,auc,50,10-fold,0.7156862745,0.08423797350000001,0.7108730159000001,0.08684186320000001,0.7788888889000001,0.1540001603,0.6428571429000001,0.1963383631,5-fold,100
225,svm,auc,50,m-carlo,0.7152777778,0.0524536059,0.7071875,0.050624187800000005,0.78,0.1043778561,0.634375,0.0957033348,5-fold,100
13,bag,pearson,100,m-carlo,0.7138888889,0.0637902875,0.7087500000000001,0.0609815546,0.755,0.10870045760000001,0.6625,0.0821183357,5-fold,100
226,svm,step-up,50,m-carlo,0.7125,0.06879816230000001,0.7006249999999999,0.0686722048,0.8075,0.12594380530000002,0.59375,0.1352689815,5-fold,100
111,mlp,step-up,10,10-fold,0.7111111111,0.1508405858,0.7049801587,0.1593939617,0.7688888889000001,0.148407181,0.6410714286,0.2526012628,5-fold,100
227,svm,auc,50,5-fold,0.7107936508,0.06993500200000001,0.7076535088,0.080564069,0.7594736842,0.1423073612,0.6558333333,0.23528941990000002,5-fold,100
14,bag,auc,100,10-fold,0.7107843137000001,0.0831497972,0.7033730159,0.091512359,0.7888888889,0.1186342028,0.6178571429,0.2139878883,5-fold,100
228,svm,pearson,50,5-fold,0.7106349206,0.071259942,0.7054605263,0.081146811,0.7684210526,0.1292156179,0.6425000000000001,0.23166067140000002,5-fold,100
229,svm,auc,100,5-fold,0.7104761905,0.0986530603,0.7065570175,0.09812066180000001,0.7589473684,0.15455458300000002,0.6541666667,0.1838062083,5-fold,100
15,bag,auc,50,m-carlo,0.7083333333,0.06833915730000001,0.7046875,0.0651060307,0.7375,0.1212598341,0.671875,0.0926470204,5-fold,100
230,svm,auc,100,m-carlo,0.7069444444,0.0652847763,0.699375,0.0619349457,0.7675000000000001,0.12060701730000001,0.6312500000000001,0.0927024811,5-fold,100
17,bag,pearson,10,m-carlo,0.7055555556,0.0670796177,0.6987500000000001,0.063885949,0.76,0.1252366182,0.6375000000000001,0.1005740105,5-fold,100
16,bag,auc,100,m-carlo,0.7055555556,0.07877390520000001,0.69625,0.0779676046,0.78,0.1140175425,0.6125,0.1103224938,5-fold,100
169,rf,auc,50,10-fold,0.7049019608,0.071416009,0.6996230159,0.0779789924,0.7688888889000001,0.10446808240000001,0.6303571429,0.17375447600000002,5-fold,100
231,svm,pearson,10,5-fold,0.7047619048,0.0409634537,0.7046271930000001,0.0528834207,0.7284210526,0.12364781100000001,0.6808333333000001,0.2023215949,5-fold,100
112,mlp,step-up,10,5-fold,0.7041269841000001,0.0540335739,0.6962938596,0.051739307000000005,0.7684210526,0.1339652041,0.6241666667,0.1503583682,5-fold,100
170,rf,auc,50,m-carlo,0.7000000000000001,0.0678022197,0.6959375,0.0636174771,0.7325,0.1216930997,0.6593749999999999,0.07976888900000001,5-fold,100
18,bag,pearson,50,m-carlo,0.7000000000000001,0.078876945,0.6975,0.07741187690000001,0.72,0.125026313,0.675,0.11577825900000001,5-fold,100
171,rf,pearson,50,5-fold,0.6992063492,0.1064942153,0.6995175439,0.11118576770000001,0.7173684211,0.1560040308,0.6816666667,0.2288558498,5-fold,100
172,rf,auc,100,10-fold,0.6986928105,0.1023362359,0.6971230159,0.10476011980000001,0.7388888889,0.1492780983,0.6553571429,0.1901131212,5-fold,100
19,bag,auc,10,m-carlo,0.6944444444,0.0630861082,0.68625,0.059831177000000006,0.76,0.10954451150000001,0.6125,0.0774808975,5-fold,100
173,rf,auc,100,m-carlo,0.6944444444,0.0680413817,0.6890625,0.0643756387,0.7375,0.11795962730000001,0.640625,0.0807932506,5-fold,100
113,mlp,pearson,100,10-fold,0.6941176471,0.1099753995,0.6853373016000001,0.1159090405,0.7688888889000001,0.1146115285,0.6017857143,0.1945345191,5-fold,100
174,rf,auc,100,5-fold,0.6934920635,0.0824564599,0.6876973684000001,0.08537902010000001,0.7478947368000001,0.09224425600000001,0.6275000000000001,0.1539863811,5-fold,100
114,mlp,auc,100,m-carlo,0.6916666667,0.0840128243,0.6890625,0.08712029930000001,0.7125,0.1458865818,0.665625,0.1883478637,5-fold,100
115,mlp,step-up,10,m-carlo,0.6916666667,0.0679816701,0.686875,0.0691792818,0.73,0.0923380517,0.64375,0.11308328320000001,5-fold,100
232,svm,pearson,10,10-fold,0.6879084967,0.0801708877,0.6905158730000001,0.0786886852,0.6988888889,0.1685449715,0.6821428571,0.1828456718,5-fold,100
233,svm,auc,10,5-fold,0.6876190476,0.069137872,0.6793640351,0.06612798510000001,0.7578947368000001,0.1380638778,0.6008333333,0.14216822980000002,5-fold,100
234,svm,pearson,100,m-carlo,0.6875,0.0795306856,0.68,0.07699111360000001,0.7475,0.1390522431,0.6125,0.1209882552,5-fold,100
