,model,feat_select,n_feat,test_val,acc,acc_sd,auc,auc_sd,sens,sens_sd,spec,spec_sd,htune_val,htune_trials
45,bag,step-up,100,5-fold,0.8295238095,0.053494654,0.8267105263000001,0.0625000769,0.8484210526,0.0355311887,0.805,0.1324973794,5-fold,100
46,bag,step-up,50,5-fold,0.7898412698,0.0654230183,0.7828070175,0.07191442020000001,0.8489473684000001,0.069813761,0.7166666667,0.17252717180000002,5-fold,100
47,bag,step-up,100,10-fold,0.7892156863,0.0887682605,0.7867857143,0.0840749315,0.8200000000000001,0.1619327707,0.7535714286,0.1284390853,5-fold,100
48,bag,step-up,100,m-carlo,0.7763888889,0.0772512462,0.7728125,0.0801487874,0.805,0.0825577947,0.740625,0.12707973820000001,5-fold,100
49,bag,step-up,50,10-fold,0.7617647059,0.098804205,0.7519444444000001,0.1033294778,0.8288888889,0.1051747517,0.675,0.1797185378,5-fold,100
50,bag,step-up,10,5-fold,0.7392063492000001,0.0991390248,0.7266008772,0.09855972900000001,0.8273684211000001,0.0938666172,0.6258333333,0.11457954540000001,5-fold,100
0,bag,auc,50,5-fold,0.7273015873,0.0145651679,0.7203070175,0.0175092861,0.7889473684,0.0722223406,0.6516666667000001,0.0965372697,5-fold,100
1,bag,pearson,100,5-fold,0.726984127,0.0781816531,0.7265570175,0.0768013797,0.7489473684,0.1486970185,0.7041666667,0.1659882024,5-fold,100
2,bag,auc,50,10-fold,0.7218954248,0.098479404,0.7183730159,0.1016054361,0.7688888889000001,0.1325905235,0.6678571429,0.1760134246,5-fold,100
3,bag,pearson,100,10-fold,0.7212418301,0.1084745277,0.7149801587,0.1174640879,0.7888888889,0.1088662108,0.6410714286,0.2186153214,5-fold,100
51,bag,step-up,50,m-carlo,0.7208333333,0.0718020843,0.715,0.0718184846,0.7675000000000001,0.11951106530000001,0.6625,0.1288869354,5-fold,100
52,bag,step-up,10,10-fold,0.7176470588,0.0907113778,0.7042857143,0.09415003470000001,0.8300000000000001,0.12516655570000002,0.5785714286,0.1702838766,5-fold,100
53,bag,step-up,10,m-carlo,0.7166666667,0.06536248700000001,0.70625,0.0658634453,0.8,0.1088214375,0.6125,0.1226757601,5-fold,100
4,bag,pearson,100,m-carlo,0.7138888889,0.0637902875,0.7087500000000001,0.0609815546,0.755,0.10870045760000001,0.6625,0.0821183357,5-fold,100
5,bag,auc,100,10-fold,0.7107843137000001,0.0831497972,0.7033730159,0.091512359,0.7888888889,0.1186342028,0.6178571429,0.2139878883,5-fold,100
6,bag,auc,50,m-carlo,0.7083333333,0.06833915730000001,0.7046875,0.0651060307,0.7375,0.1212598341,0.671875,0.0926470204,5-fold,100
8,bag,auc,100,m-carlo,0.7055555556,0.07877390520000001,0.69625,0.0779676046,0.78,0.1140175425,0.6125,0.1103224938,5-fold,100
7,bag,pearson,10,m-carlo,0.7055555556,0.0670796177,0.6987500000000001,0.063885949,0.76,0.1252366182,0.6375000000000001,0.1005740105,5-fold,100
9,bag,pearson,50,m-carlo,0.7000000000000001,0.078876945,0.6975,0.07741187690000001,0.72,0.125026313,0.675,0.11577825900000001,5-fold,100
10,bag,auc,10,m-carlo,0.6944444444,0.0630861082,0.68625,0.059831177000000006,0.76,0.10954451150000001,0.6125,0.0774808975,5-fold,100
11,bag,pearson,50,10-fold,0.6872549020000001,0.07256978900000001,0.6812301587,0.0774240824,0.7588888889000001,0.13374935100000002,0.6035714286,0.1787300882,5-fold,100
12,bag,pearson,50,5-fold,0.6761904762000001,0.042591771,0.6732675439,0.0392957429,0.7073684211,0.1285358633,0.6391666667,0.14079388010000002,5-fold,100
13,bag,d,50,5-fold,0.6707936508,0.0524001889,0.6689473684,0.0562831949,0.6878947368,0.0703079889,0.65,0.1065966567,5-fold,100
