,model,feat_select,n_feat,test_val,acc,acc_sd,auc,auc_sd,sens,sens_sd,spec,spec_sd,htune_val,htune_trials
45,dtree,step-up,100,5-fold,0.7503174603,0.0721820925,0.7457675439,0.0755660516,0.7873684211,0.045252446700000004,0.7041666667,0.1166666667,5-fold,100
46,dtree,step-up,10,5-fold,0.75,0.0371153744,0.7407236842,0.038505237500000004,0.8189473684,0.0551816441,0.6625,0.0523741879,5-fold,100
0,dtree,auc,50,5-fold,0.6761904762000001,0.013468700600000001,0.6674342105000001,0.012752339100000001,0.7373684211,0.0414588539,0.5975,0.0521749195,5-fold,100
1,dtree,pearson,50,5-fold,0.6703174603000001,0.0272604896,0.6649780702,0.0259874898,0.7057894737,0.1024526105,0.6241666667,0.1017383627,5-fold,100
2,dtree,pearson,10,5-fold,0.6701587302,0.0497967651,0.6616885965,0.0458443232,0.7042105263,0.2251238502,0.6191666667,0.23287902200000002,5-fold,100
3,dtree,pearson,50,10-fold,0.6598039216,0.13559750780000002,0.6585317460000001,0.1341577991,0.6777777778,0.1735611039,0.6392857143,0.1816793043,5-fold,100
4,dtree,pearson,100,5-fold,0.6590476190000001,0.0640294717,0.6492543860000001,0.0685597921,0.7268421053,0.047819489800000003,0.5716666667,0.10918733900000001,5-fold,100
47,dtree,step-up,50,5-fold,0.6590476190000001,0.0640294717,0.6563377193000001,0.0664593274,0.6668421053,0.11963703190000001,0.6458333333,0.15937159580000002,5-fold,100
5,dtree,auc,10,10-fold,0.6470588235,0.1548910825,0.6490873016,0.1575876042,0.6588888889,0.1940153997,0.6392857143,0.2465464406,5-fold,100
6,dtree,auc,10,5-fold,0.6414285714,0.10405061560000001,0.6395614035,0.1043758979,0.6657894737000001,0.1287458146,0.6133333333000001,0.15395255400000002,5-fold,100
7,dtree,pearson,10,m-carlo,0.6347222222000001,0.0461962857,0.6359374999999999,0.0591842504,0.625,0.1175405865,0.646875,0.2100232991,5-fold,100
8,dtree,auc,50,m-carlo,0.6291666667,0.0535265445,0.6265625,0.0565189113,0.65,0.0811107106,0.603125,0.1187153689,5-fold,100
9,dtree,auc,100,5-fold,0.6250793651000001,0.0358533448,0.6146710526,0.0385991701,0.7068421053,0.0750253881,0.5225000000000001,0.1182041548,5-fold,100
10,dtree,pca,10,5-fold,0.6246031746,0.0456676901,0.6194078947,0.0476908142,0.6563157895,0.0752327874,0.5825,0.10559027210000001,5-fold,100
11,dtree,d,50,5-fold,0.6193650794000001,0.07122015450000001,0.6080043860000001,0.07735899090000001,0.7068421053,0.0750253881,0.5091666667,0.1529342633,5-fold,100
12,dtree,auc,50,10-fold,0.6183006536,0.0992876216,0.6170833333,0.1040087806,0.6466666667000001,0.1068054653,0.5875,0.187750211,5-fold,100
13,dtree,d,50,10-fold,0.6156862745,0.1273177711,0.6105357143,0.1345144592,0.68,0.1751190072,0.5410714286,0.2378048825,5-fold,100
14,dtree,pearson,10,10-fold,0.6147058824,0.14769450280000002,0.6278571429,0.15068390950000002,0.5700000000000001,0.2584139659,0.6857142857,0.2889450277,5-fold,100
15,dtree,pca,50,5-fold,0.613968254,0.047861815,0.6084210526,0.0530462919,0.6568421053,0.0522883546,0.56,0.11416970800000001,5-fold,100
16,dtree,pearson,100,m-carlo,0.6138888889,0.0753484433,0.610625,0.07761610570000001,0.64,0.1142481141,0.58125,0.1477629236,5-fold,100
17,dtree,pearson,50,m-carlo,0.6069444444000001,0.057900089800000006,0.604375,0.06312516280000001,0.6275000000000001,0.0818776366,0.58125,0.14208851020000002,5-fold,100
18,dtree,auc,100,m-carlo,0.6041666667000001,0.0961722754,0.603125,0.095380557,0.6125,0.13752990110000002,0.59375,0.1352689815,5-fold,100
19,dtree,d,10,10-fold,0.6013071895000001,0.11973654830000001,0.6035714286,0.1126557878,0.65,0.2838231061,0.5571428571,0.303372951,5-fold,100
