,model,feat_select,n_feat,test_val,acc,acc_sd,auc,auc_sd,sens,sens_sd,spec,spec_sd,htune_val,htune_trials
45,mlp,step-up,50,10-fold,0.7549019608,0.0977604364,0.7504960317,0.0965812406,0.7777777778,0.139664501,0.7232142857,0.1271777418,5-fold,100
46,mlp,step-up,50,5-fold,0.7441269841,0.0814209904,0.7405701754,0.0874253229,0.7894736842000001,0.1286112698,0.6916666667,0.21935432400000002,5-fold,100
47,mlp,step-up,50,m-carlo,0.7166666667,0.0498535868,0.709375,0.0507144677,0.775,0.0966545667,0.64375,0.11308328320000001,5-fold,100
48,mlp,step-up,10,10-fold,0.7111111111,0.1508405858,0.7049801587,0.1593939617,0.7688888889000001,0.148407181,0.6410714286,0.2526012628,5-fold,100
49,mlp,step-up,10,5-fold,0.7041269841000001,0.0540335739,0.6962938596,0.051739307000000005,0.7684210526,0.1339652041,0.6241666667,0.1503583682,5-fold,100
0,mlp,pearson,100,10-fold,0.6941176471,0.1099753995,0.6853373016000001,0.1159090405,0.7688888889000001,0.1146115285,0.6017857143,0.1945345191,5-fold,100
1,mlp,auc,100,m-carlo,0.6916666667,0.0840128243,0.6890625,0.08712029930000001,0.7125,0.1458865818,0.665625,0.1883478637,5-fold,100
50,mlp,step-up,10,m-carlo,0.6916666667,0.0679816701,0.686875,0.0691792818,0.73,0.0923380517,0.64375,0.11308328320000001,5-fold,100
2,mlp,pearson,10,5-fold,0.6873015873,0.0367486886,0.6872807018,0.0438375081,0.7078947368,0.11746691640000001,0.6666666667000001,0.1740300501,5-fold,100
3,mlp,pearson,100,m-carlo,0.6847222222,0.0750108288,0.6753125,0.0927130149,0.76,0.1313893371,0.590625,0.28205294740000003,5-fold,100
5,mlp,auc,100,10-fold,0.6767973856,0.0772184412,0.6719444444,0.0830431455,0.7188888889,0.1011660412,0.625,0.1636634177,5-fold,100
4,mlp,pearson,10,10-fold,0.6767973856,0.1032441852,0.683015873,0.09940963300000001,0.6588888889,0.18820136310000002,0.7071428571,0.1910705014,5-fold,100
6,mlp,auc,50,m-carlo,0.6694444444000001,0.08005237080000001,0.6637500000000001,0.0971129294,0.715,0.1647166626,0.6125,0.3045704482,5-fold,100
7,mlp,pearson,100,5-fold,0.6644444444000001,0.0636664272,0.6628508772,0.0593248571,0.6873684211000001,0.1124272618,0.6383333333,0.0865223157,5-fold,100
8,mlp,pearson,50,m-carlo,0.6625,0.077146035,0.6587500000000001,0.0793787556,0.6925,0.112711789,0.625,0.146224413,5-fold,100
9,mlp,auc,50,10-fold,0.6604575163,0.10178571360000001,0.6581746032,0.1044307688,0.6877777778,0.16484186210000001,0.6285714286,0.2044363414,5-fold,100
10,mlp,pearson,50,10-fold,0.6594771242,0.06940630760000001,0.6535317460000001,0.0754861626,0.7177777778000001,0.1015922618,0.5892857143,0.1683587574,5-fold,100
11,mlp,auc,10,m-carlo,0.6583333333,0.0715896726,0.653125,0.0724767431,0.7000000000000001,0.1088214375,0.6062500000000001,0.1267963037,5-fold,100
12,mlp,pearson,10,m-carlo,0.6541666667,0.0803435403,0.6543749999999999,0.08063022730000001,0.6525000000000001,0.1371466752,0.65625,0.1510652961,5-fold,100
13,mlp,auc,100,5-fold,0.653968254,0.0898754773,0.6609210526,0.1015854179,0.6268421053000001,0.1332187296,0.6950000000000001,0.2532668498,5-fold,100
14,mlp,d,10,10-fold,0.6434640523,0.1058994983,0.6380357143000001,0.104107296,0.71,0.19119507200000002,0.5660714286,0.1779851487,5-fold,100
15,mlp,auc,10,10-fold,0.6418300654,0.10326429670000001,0.6348015873,0.1001187409,0.7088888889,0.1715578584,0.5607142857,0.15156964080000002,5-fold,100
