,model,feat_select,n_feat,test_val,acc,acc_sd,auc,auc_sd,sens,sens_sd,spec,spec_sd,htune_val,htune_trials
45,rf,step-up,50,5-fold,0.8411111111,0.058354655400000004,0.8422368421,0.052633315,0.8394736842,0.11338716060000001,0.845,0.07110243000000001,5-fold,100
46,rf,step-up,10,5-fold,0.7844444444,0.0637731872,0.7748903509,0.0700799446,0.8489473684000001,0.0335255309,0.7008333333,0.1242477364,5-fold,100
47,rf,step-up,50,m-carlo,0.7833333333,0.057424697100000005,0.7778125,0.0568670469,0.8275,0.08955298340000001,0.728125,0.0890257022,5-fold,100
48,rf,step-up,50,10-fold,0.7732026144,0.09509248640000001,0.7716071429,0.1018725263,0.8200000000000001,0.1398411798,0.7232142857,0.2176081716,5-fold,100
49,rf,step-up,100,10-fold,0.7617647059,0.1035311218,0.7530357143,0.1026334442,0.84,0.1505545305,0.6660714286,0.1559137538,5-fold,100
50,rf,step-up,100,5-fold,0.7614285714,0.0741619849,0.7570175439,0.07204427170000001,0.7973684211000001,0.0954650376,0.7166666667,0.0984691858,5-fold,100
51,rf,step-up,10,10-fold,0.7437908497,0.0949801119,0.7356944444,0.09521703220000001,0.8088888889,0.11884215070000001,0.6625,0.16824297100000002,5-fold,100
53,rf,step-up,100,m-carlo,0.7180555556,0.0651602463,0.7103125,0.0659967541,0.78,0.09090191360000001,0.640625,0.1070596089,5-fold,100
52,rf,step-up,10,m-carlo,0.7180555556,0.0837101616,0.7068749999999999,0.08617177990000001,0.8075,0.0907207978,0.6062500000000001,0.12999873480000002,5-fold,100
0,rf,auc,50,5-fold,0.7161904762,0.054875658300000005,0.7098903509000001,0.0588694489,0.7789473684,0.11375302500000001,0.6408333333,0.160954186,5-fold,100
1,rf,auc,50,10-fold,0.7049019608,0.071416009,0.6996230159,0.0779789924,0.7688888889000001,0.10446808240000001,0.6303571429,0.17375447600000002,5-fold,100
2,rf,auc,50,m-carlo,0.7000000000000001,0.0678022197,0.6959375,0.0636174771,0.7325,0.1216930997,0.6593749999999999,0.07976888900000001,5-fold,100
3,rf,pearson,50,5-fold,0.6992063492,0.1064942153,0.6995175439,0.11118576770000001,0.7173684211,0.1560040308,0.6816666667,0.2288558498,5-fold,100
4,rf,auc,100,10-fold,0.6986928105,0.1023362359,0.6971230159,0.10476011980000001,0.7388888889,0.1492780983,0.6553571429,0.1901131212,5-fold,100
5,rf,auc,100,m-carlo,0.6944444444,0.0680413817,0.6890625,0.0643756387,0.7375,0.11795962730000001,0.640625,0.0807932506,5-fold,100
6,rf,auc,100,5-fold,0.6934920635,0.0824564599,0.6876973684000001,0.08537902010000001,0.7478947368000001,0.09224425600000001,0.6275000000000001,0.1539863811,5-fold,100
7,rf,pearson,10,m-carlo,0.6833333333,0.0579876978,0.6815625,0.0540496163,0.6975,0.1069616262,0.665625,0.06808892700000001,5-fold,100
8,rf,pearson,100,m-carlo,0.6819444444,0.0756577182,0.6771874999999999,0.0723567948,0.72,0.125026313,0.634375,0.09130585890000001,5-fold,100
9,rf,pearson,50,10-fold,0.6764705882000001,0.0898676305,0.675515873,0.0971127502,0.7188888889,0.1461016051,0.6321428571000001,0.2255944528,5-fold,100
10,rf,pearson,100,5-fold,0.676031746,0.0597940953,0.6675438596000001,0.058334003200000005,0.7584210526,0.1772207725,0.5766666667,0.2132462387,5-fold,100
11,rf,pearson,50,m-carlo,0.675,0.0570700014,0.6693749999999999,0.057278607,0.72,0.09375219300000001,0.61875,0.1031972434,5-fold,100
12,rf,pearson,10,10-fold,0.6702614379,0.1023669591,0.6708730159,0.1046254824,0.6988888889,0.1685449715,0.6428571429000001,0.2132913437,5-fold,100
13,rf,pearson,100,10-fold,0.6656862745000001,0.106654282,0.6587301587000001,0.110747705,0.7388888889,0.1492780983,0.5785714286,0.2128257141,5-fold,100
14,rf,auc,10,m-carlo,0.6611111111,0.057424697100000005,0.6559375,0.0546548305,0.7025,0.09930680800000001,0.609375,0.0727598564,5-fold,100
15,rf,pearson,10,5-fold,0.6588888889,0.0709782986,0.6595175439000001,0.0731164162,0.6773684211000001,0.14688124360000002,0.6416666667,0.1934697794,5-fold,100
