,model,feat_select,n_feat,test_val,acc,acc_sd,auc,auc_sd,sens,sens_sd,spec,spec_sd,htune_val,htune_trials
45,svm,step-up,50,5-fold,0.8412698413,0.040840255000000006,0.83125,0.0415623695,0.92,0.0758287544,0.7425,0.0943913249,5-fold,100
46,svm,step-up,10,5-fold,0.8298412698000001,0.0518053998,0.8175,0.0550528471,0.93,0.0836660027,0.705,0.1383621958,5-fold,100
47,svm,step-up,100,5-fold,0.8246031746,0.0727609421,0.8120833333,0.0769480795,0.92,0.06708203930000001,0.7041666667,0.1323531681,5-fold,100
48,svm,step-up,50,10-fold,0.7787581699,0.0488146283,0.7678373016000001,0.0479075668,0.8588888889,0.1070940512,0.6767857143,0.12095202940000001,5-fold,100
49,svm,step-up,10,m-carlo,0.775,0.0583368142,0.7640625,0.056190575300000004,0.8625,0.10622097130000001,0.665625,0.09130585890000001,5-fold,100
50,svm,step-up,10,10-fold,0.7735294118,0.0499440785,0.7599801587,0.0554267569,0.8788888889,0.0629520688,0.6410714286,0.1337498808,5-fold,100
0,svm,pearson,100,5-fold,0.7276190476000001,0.07240601070000001,0.7264035088,0.06669170270000001,0.7594736842,0.1942971565,0.6933333333,0.1956692575,5-fold,100
1,svm,auc,100,10-fold,0.7264705882,0.1001947733,0.7212301587000001,0.1004920654,0.7888888889,0.17847087120000002,0.6535714286000001,0.20485186290000001,5-fold,100
51,svm,step-up,100,10-fold,0.7163398693,0.1086794447,0.7083928571,0.10682840760000001,0.79,0.1728840331,0.6267857143000001,0.1673984784,5-fold,100
2,svm,pearson,100,10-fold,0.7163398693,0.0633833431,0.7151587302,0.0647888405,0.7588888889000001,0.1636391694,0.6714285714,0.1932828928,5-fold,100
3,svm,pearson,50,10-fold,0.7160130719000001,0.0739851125,0.713015873,0.0799939372,0.7688888889000001,0.1407212462,0.6571428571,0.2070196678,5-fold,100
4,svm,auc,50,10-fold,0.7156862745,0.08423797350000001,0.7108730159000001,0.08684186320000001,0.7788888889000001,0.1540001603,0.6428571429000001,0.1963383631,5-fold,100
5,svm,auc,50,m-carlo,0.7152777778,0.0524536059,0.7071875,0.050624187800000005,0.78,0.1043778561,0.634375,0.0957033348,5-fold,100
52,svm,step-up,50,m-carlo,0.7125,0.06879816230000001,0.7006249999999999,0.0686722048,0.8075,0.12594380530000002,0.59375,0.1352689815,5-fold,100
6,svm,auc,50,5-fold,0.7107936508,0.06993500200000001,0.7076535088,0.080564069,0.7594736842,0.1423073612,0.6558333333,0.23528941990000002,5-fold,100
7,svm,pearson,50,5-fold,0.7106349206,0.071259942,0.7054605263,0.081146811,0.7684210526,0.1292156179,0.6425000000000001,0.23166067140000002,5-fold,100
8,svm,auc,100,5-fold,0.7104761905,0.0986530603,0.7065570175,0.09812066180000001,0.7589473684,0.15455458300000002,0.6541666667,0.1838062083,5-fold,100
9,svm,auc,100,m-carlo,0.7069444444,0.0652847763,0.699375,0.0619349457,0.7675000000000001,0.12060701730000001,0.6312500000000001,0.0927024811,5-fold,100
10,svm,pearson,10,5-fold,0.7047619048,0.0409634537,0.7046271930000001,0.0528834207,0.7284210526,0.12364781100000001,0.6808333333000001,0.2023215949,5-fold,100
11,svm,pearson,10,10-fold,0.6879084967,0.0801708877,0.6905158730000001,0.0786886852,0.6988888889,0.1685449715,0.6821428571,0.1828456718,5-fold,100
12,svm,auc,10,5-fold,0.6876190476,0.069137872,0.6793640351,0.06612798510000001,0.7578947368000001,0.1380638778,0.6008333333,0.14216822980000002,5-fold,100
13,svm,pearson,100,m-carlo,0.6875,0.0795306856,0.68,0.07699111360000001,0.7475,0.1390522431,0.6125,0.1209882552,5-fold,100
14,svm,d,50,10-fold,0.6820261438,0.1224611159,0.6766071429,0.1209504183,0.73,0.17029386370000002,0.6232142857,0.16070326240000002,5-fold,100
15,svm,pearson,10,m-carlo,0.6819444444,0.0671250082,0.6790625,0.06377885700000001,0.705,0.1223670062,0.653125,0.09396904240000001,5-fold,100
16,svm,pearson,50,m-carlo,0.6736111111,0.0590116507,0.668125,0.0600130194,0.7175,0.109153441,0.61875,0.1280868846,5-fold,100
17,svm,pca,100,m-carlo,0.6625,0.0676072776,0.6425000000000001,0.0702322276,0.8225,0.0880714423,0.4625,0.1256561725,5-fold,100
18,svm,pca,50,m-carlo,0.6555555556,0.0505010631,0.6412500000000001,0.0521100809,0.77,0.09090191360000001,0.5125000000000001,0.1139886883,5-fold,100
19,svm,auc,10,m-carlo,0.6541666667,0.0573362289,0.6440625,0.0563950979,0.735,0.09333020040000001,0.553125,0.0890257022,5-fold,100
